"3","Купил монитор все отлично но на мониторе отображается все например у тибе написано что-то а за ним поло прозрачным тоже самое"
"5","Ребят кто подскажет работает все огонь только вон на черном фоне есть полосы по экрану особенно в играх подключен через переходник видеокарта gtx 650Ti"
"5","Реально в сравнении с мониторами с матрицей TN это просто небо и земля.. А какой черный цвет у этого монитора...сказка. Если б не ножка, это был бы идеальный монитор за свои небольшие деньги."
"3","В целом неплохой монитор. Есть один минус - это крепление подставки к монитору, очень ненадежная конструкция. Собрал монитор, взял за ногу, сам экран полетел на пол, а нога осталась в руке, хорошо, что не успел поднять достаточно высоко. Я понимаю, что так я его не буду каждый день носить, но думаю так не должно быть, крепеж должен быть болтовой, а не защелка."
"5","Хороший монитор, рекомендую"
"4","Нормальный монитор, но эпоха VGA разъемов уходит. Если вы планируете обновлять свой компьютер - лучше доплатите 300 гривен и возьмите монитор с HDMI."
"5","Очень понравился данный монитор именно из-за его углов обзора, видно всё где-то под углом 30 градусов, не размывает картинку. Я доволен."
"5","Выбирая, монитор сразу выделился углами обзора, все мониторы что были рядом в этой ценовой категории влево, вправо, вниз, вверх теряли цвета.. В играх характеристик хватает, за работой глаза не устают, кино смотреть приятно. Что еще нужно?"
"5","хороший монитор за достаточно не большие деньги . углы обзора отличные , цвета сочные . пока всё устраивает , розетка как всегда на высоте спасибо !"
"3","Обычный монитор. Для серфинга в интернете и игрушек вполне хороший вариант. Но для просмотра фильмов и тв каналов абсолютно не подходит, так как максимум имеет 60гц при родном разрешении. Картинка в фильмах получается с прерывистостью и размытостью. Все дело в том, что тв каналы и фильмы обычно с частотой 23.976 fps и для комфортного просмотра развертка должна быть примерно кратной, в данном случае 50 или 75гц, а здесь тупо 60гц. Если смотреть фильмы в 60фпс все отлично. Печально что я это понял после покупки)."
"4","Добрий день.Скажіть чи йде кабель vgaу комплекті,чи потрібно самому купувати?"
"4","В целом монитор не плох. Вызывает сомнение надежность крепления экрана на ножке. Качество матрицы более пригодно для просмотра фильмов и игр, нежели для чтения текста."
"4","По сравнению с моим предыдущим квадратным монитором с TN матрицей.. Сей монитор просто чудо."
"5","Монитор отличный, яркости очень много, качество супер Единственный нюанс - толстоват для 2015 года )))"
"5","Допоможіть знайти схожий, але дешевший!"
"5","Порадьте якийсь схожий, але дешевший монітор."
"5","Спасибо, ""Розетка"" все достойно. Желаю дальнейших успехов!"
"5","а чи можна його підключити до Xbox 360,і щоб не було лишніх портів?"
"4","Хороший монитор. Не сильно маркий пластик, уверенно стоит на подставке. Что первым выйдет из строя (инвертор\лампа подсветки\силовой блок) - покажет время. А так, бухгалтера не жаловались =)."
"5","Задоволений монітором повністю. Всім рекомендую."
"5","Я успел купить этот монитор за 974 грн. Мне повезло )"
"4","Очень хороший монитор. Углы обзора совершенны!"
"4","Приобрел монитор для работы, даже не ожидал что он такой большой. Ноутбук рядом с ним теряется. За эти деньги я и не думал что могу получить нечто подобное. Очень понравился."
"5","Приобрел данный монитор, он действительно большой, отличные углы обзора, насыщенная картинка, за такую цену получил больше чем рассчитывал получить от этого монитора."
