"5","Отличный монитор за свою цену которые имеет хорошую матрицу IPS и прекрасные углы обзора!"
"4","В целом неплохой монитор, углы обзора достойные и дизайн привлекательный. По поводу безрамочного дисплея так рамки там все же есть, милиметров по 8 с каждой стороны. Колонки тоже порадовали и громкостью ну и качеством как для встроенных в монитор. Есть все входы. Только когда подключаю входы для наушников(наушники+микрофон) то микро не работает. Может это я не разобрался."
"5","видеокарту 1050ti можно подключить? а то не вижу в характеристиках разъемы"
"5","Есть ли на мониторе разъём под наушники и микрофон,а также подойдёт ли связка процессора Amd FX 6300 и видеокарты Gtx 1050 TI на 4 гб от компании Gigabyte к этому монитору,вопрос к представителям фирмы AOC"
"5","Гарний монітор,за такі гроші,просто казка,питання до представників компанії AOC :Чи підійде під цей монітор відеокарта Gtx 1050 TI на 4 гб від фірми Gigabyte,ну і процессор Amd Fx 6300?"
"5","А так вообще монитор хороший."
"2","Монитор как монитор, но есть один подвох, там экран с рамками!"
"5","Монитор отличный."
"5","моник отличный)"
"5","Колонки можно отключить?"
"4","За свою цену неплохой монитор.Доставка 8 дней от SELECTRO"
"5","Что такое MHL? И как у него цвет черного?"
"5","Гарантийные обязательства берет на себя розетка или selectro?"
"5","Офигенный монитор, цена радует."
"4","Купил. Все хорошо, кроме единственного недостатка, который относиться не к товару, а к продавцу. Фронтальная фотография не соответствует действительности, этот монитор совсем не без рамочный. Рамки обычные, примерно 1см."
"3","За те десять минут использование он мне понравился, жалко что пришел с браком. Но проблем с возвратом не было, спасибо за это Розетке."
"5","За эти деньги монитор супер, очень доволен покупкой!"
"5","очень хороший монитор для своей цены"
"5","Отличный монитор. Красивый на вид и хорошая матрица, углы обзора. Ножка нормальная, отсоединяется, с резинками чтоб не сколизить. Купил в качестве телевизора на кухню. Подсоеденил спутниковый HD тюнер, hdmi шнуром - полет нормальный. Но звук как у ноутбука, куплю еше колоночки для нормального звучания."
"5","Хороший монитор за доступную цену...Матрица AH-IPS, матовый, Контрастность 1000:1 - статическая, 20M:1 - динамическая (DCR), Экономичная подсветка WLED, есть 2 x HDMI (один поддерживает MHL) , DisplayPort, VGA, поддерживает крепление для VESA 75 мм... что еще удивило - наличие слота для Kensington Lock...Встроенные стереодинамики (2х2 Вт)...В комплекте есть: CD, кабель 3.5 Jack (M) - 3.5 Jack (M), кабель VGA-VGA, кабель HDMI-HDMI, кабель питания...Вес нетто 3,5кг, вес брутто 4.95кг."
