"3","Монитор хороший сам по себе но у меня попался с засветом ( видно только на чорном фоне), битих пикселей нет."
"4","Монитор хороший , качество картинки хорошее , для игр нормально ! Рамки есть , и они больше чем на фото , но это не страшно . Монитор на столе стоит не очень хорошо , немного потрясти стол и монитор шатаеться . Но я заметил один минус , сама матрица плохо посажена в корпус , по центру выпирает немного , а с левого боку углублена сильно и из-за этого на черном фоне буд-то ярче светит . Это конечно не напрягает , но обидно , за что и снизил бал . Хочу поинтересоваться у вас (компании АОС) не будет ли потом проблем с ним ? Возвращать по гарантии не хочу , так как это первый мой моник и поменять не на что ... Возможно ли это исправить самому ? И кто-то писал что сильно темный и сильно светлый . В настройках качества картинки все можно настроить под себя , я настроил и все отлично ."
"5","От монитора я вообще в восторге, после распаковки и подключения даже ничего настраивать не пришлось. Картинка сочная, чёткая. Читал отзывы здесь: пиксели битые, мерцания и т.д., у меня все в порядке - нет царапин, засветов, битых пикселей. За свою цену очень класный и качественный монитор, берите не пожалеете."
"3","Заказал в Розетке. Несколько разочарован. Качество матрицы на троечку.Темные места, очень темные, а светлые слишком светлые. Контраст отрегулировать не получилось. Покупал на смену старенького LG W2042T, и там качество изображения было лучше, не смотря что здесь хвалёный ips а там обычный tf. Вердикт: Лучше доплатить на более лучший монитор."
"5","Просто хороший монитор за разумные деньги. Кто думает о покупке, берите."
"5","Мне очень понравился монитор в играх все хорошо, и за того что рамка черная и по бокам её не видно.Еще он не сильно темный и не сильно светлый. Сначала я подумал пришел брак но с зади не заметил кнопку включения)."
"3","Купил монитор, когда подключил его к компьютеру , то заметил несколько черных точек, ними оказались битые пикскли , и как их исправить не знаю ("
"5","очень доволен покупкой ну только пока 1 минус есть со шнуром из-за длины но это можно и самому решить"
"5","Первый раз столкнулся с тем что на экране пленка, теперь надо вот искать информацию можно ли ее как-то протирать со временем и нужно ли ее вообще будет менять. Если бы подсказали был бы благодарен."
"5","Хороший монітор за свої гроші. Для домашнього ПК розмір цілком достатній ІМХО. Кольори, кути огляду, матриця IPS, маленька рамка, надійна підставка. Нажаль Win не хоче встановлювати щось інше, окрім стандартного драйверу, а на офіційному сайті драйвера немає :-( В комплекті є диск, але для нього треба CD-привід (але це вже придирки)"
"5","За такую цену топ, смело берите"
"4","В целом всё устраивает, изображение чёткое углы обзора шикарные (спасибо IPS матрице), подсветка равномерная."
"3","Монитор хороший как за свои деньги, но столкнулся с проблемой, а именно уголы обзора не соответствуют заявленным. если смотреть в монитор под углом 90 то все отлично но если встать из за стола то картинка резко становиться темнее, данное явление наблюдается только при просмотре немного сверху, с остальных сторон картинка не меняется. С чем это может быть связано, или же это мне попалась бракованная матрица ?"
"5","Я в восторге от этого монитора.Качество на высшем уровне,что сборка,что изображение,что дизайн,тем более за такую цену.Берите,жалеть не будете.Ни чего не настраивал,даже диск не вставлял с драйверами.Включил на пробу,все работает.Подсоединил DVI кабелем,выкинул прежде стоявший переходник под VGA.Битых пикселей не наблюдаю.Углы обзора отличные,хоть за столом сижу,хоть на диван упал,регулировать наклон нет необходимости.Впечатление такое,что смотришь колбовый телевизор."
"5","Это мой первый монитор и я им доволен. Что скажешь - оказывается фирма АОС - передовой производитель мониторов в мире ))) А я об этом узнал уже купив его )"
"5","Отличный монитор , смело берите, не пожалеете."
"5","ЛУЧШИЙ МОНИТОР ЗА СВОИ ДЕНЬГИ. Очень красивый и самое главное - качественный монитор. Яркость и контрастность на высоте , к тому же удобное меню, все можно подогнать под себя. Но не без минусов конченого же. (Но они не значительные)"
"4","4 из 5 за отсутсвие гарантийного листа, хотя на сайте написано что просто нужен чек или накладная, для того чтобы знать дату начала гарантийного срока, но все же... а так крутой IPS матрица порадовала качеством картинки, комп стоит возле окна и нет бликов, даже учитывая что сегодня сонце светит прям в окно, ничего не мешает комфортной роботе за даным девайсом... битых пикселей нет (покраней мере не обнаружил как не всматривался), еще за щет того что он легкий и тонкий, было ощущение что сламается когда буду угол наклона менять, но все ок, показалось, качество сборки тоже не розочаровало, ничего не скрепит, ничего не играет купил на розетке доставили как всегда быстро, (постояно здесь закупаюсь) сразу подключил за 5 минут настроил под себя, и на протяжении 3 часов не вставал радовался изображением, хотя до этого был подключен телевизор самсунг через hdmi но этот апарат через dvi больше впечетлил, проверил и в играх и фильмы и код печатал в phpstorm-е при том что обычно я встаю на перекур каждие 40 минут, (может брошу с даным девайсом)))) и помните это мое субьективное мнение и оно может отлечаться от вашего"
