"5","А через hdmi встроеные динамики будут работать?"
"5","Універсальний монітор для офісу та дому. Хороша нога, яка дає змогу відрегулювати положення монітору під себе."
"5","Ну взял, вроде пока все ок, и с подсветкой и с передачей цвета, нет ни одного битого пикселя. экран не бликует, играл уже на нем и в гта и в доту, и фильмы смотреть, и работал даже с фотошопом, а так все по стандарту, экран большой, никаких проблем не было ни разу с ним. Заводские настройки в порядке."
"5","Ну что тут скажешь ,хороший монитор, отличная передача цвета, углы обзора широкие, все видно без искажения со всех сторон, и отклик быстрый у матрицы - нет смазываний в динамичных сценах. Подставка надежная. ну и сборка мне нравится. Большой экран, работать приятно, градиенты, цветовая температура , глубина черного !"
"5","Хороший монитор хоть и колхозно смотрится. Ножка у монитора если бы были какие-то креш тесты спокойно бы взяла минимум золото ибо монитор ну уж очень сложно сдвинуть с места. В целом каких то нареканий нет, вроде мыльной матрицы, битых пикселей, засветов. Количество портов выше всяких похвал ибо есть почти всё что нужно и не надо колхозить с переходниками если нужен к примеру DVI выход который сейчас модно не ставить. Единственный минус для себя открыл в том что попалась модель с бракованными динамиками один не работает вообще, второй любит по трещать. Но для меня это не критично ибо они отключаются если поставить громкость на 0 и подключаются к ПК нормальные колонки с нормальным звучанием. Ибо я как понял по одной колонке звук тут на уровне динамика накрытого кастрюлей."
"5","Шикарный монитор на самом деле, выдает четкую передачу цвета, настройки матрицы на заводе оказались очень даже удачными, выполнен из хорошего материала, никаких проблем по работе за все время пользования, а он у меня 3 месяца уже. Рад, что именно его взял, так как картинка тут в порядке."
"5","А в комплекте какая лежит версия ""Display Port "" ?"
"4","из-за хорошей ножки и крепления pivot, монитор выдается вперед и занимает много места.Но,это такое..... Мне для обработки фото - прекрасно подошел!!"
"5","Отличный дизайн и широкий выбор настройки монитора по высоте и углу наклона."
"5","Все в нем нравится. и картинка и прочие моменты, широкие углы обзора, со сторон все отчетливо видно, без инвертирования цвета, покрытие матовое и не ловит бликов, ну и своего отражения нету. Видео смотреть приятно, да и в игрушки валить тоже, отклик то тоже небольшой, и поэтому размытости экрана в динамичных сценах нету. Корпус из хорошего материала, не прогибается, ножка удобная"
