"5","У меня стоит очень хорошая видеоплата Asus PCI-Ex GeForce GTX 980 Ti Strix 6GB GDDR5 ( http://hard.rozetka.com.ua/asus_gtx980ti_dc3oc_6gd5_gaming/p4313615/ ), монитор подключен через DisplayPort, через HDMI не вижу смысла, т.к. там максимум 50 Гц. Звук даже не пробовал, т.к. все вывожу на хорошую акустику Edifier R2730DB ( http://hard.rozetka.com.ua/edifier_r2730db/p2506127/ ) через S/PDIF Почему я это уточнил, потому что многие пишут обзоры этого монитора и цепляют его к ""хилому"" железу. И потом вывод, мол, разрешение не для современных видеоплат. Монитор такого уровня берется на лет 5-7 и глупо ориентироваться на видеоплаты среднего ценового сегмента. На GeForce GTX 980 Ti Strix ничего не тормозит на максимальных настройках игр. Но если учесть что совсем скоро выйдет GTX 1080 то я не вижу смысла брать монитор с меньшим разрешением (2560x1080) при таком размере экрана. Основная задача монитора - игровой, просмотр широкоформатных фильмов, вторичная - верстка материалов в CorelDraw, Adobe PhotoShop, оформление документов интернет-серфинг. С этими задачами монитор справляется отлично. К размеру быстро привык. Когда работаю в PhotoShop головой приходиться крутить, потому что необходимо фокусироваться на инструментах, которые расположены по краям монитора. Когда играю в игру все наоборот, дополнительные полосы по краям дают преимущество -- вижу больше чем соперники. На мой взгляд 100 Гц для игр достаточно, нету дискомфорта на динамических сценах. NVIDIA G-Sync позволяет умеренно нагружать видеоплату, т.к. раньше часто на играх она выдет 160-200 fps (а зачем если частота монитора 100 Гц?) вот видяха более 100 fps и не розгоняется . Ну и хочется отметить дизайн -- монитор выглядит очень круто. Кабели аккуратно укладываются, монитор поднимается и поворачивается очень легко, впечатления воздушной легкости -- тут ASUS молодцы Что непонравилось: * Монитор не ""безрамочный"". Есть отступы по сантиметру по краям матрицы. * Подставка занимает много места на столе, подсветку логотипа на стол сразу вырубил, она меня только отвлекает от работы. * USB-разъемы спрятаны за декоративной крышкой и чтобы туда что-нибудь подключить надо сделать много телодвижений. Но это мелочи, главное изогнутий IPS/100 Гц/5мс/G-Sync, берите если на него есть деньги. :)"
"5","Вопрос с представителю Asus : Когда выйдет новый Asus PG35VQ ?Жду не дождусь его!)"
"5","Ребят нужна помощь. Кто разбирается посоветуйте топовое железо на карте GTX 1080TI под этот монитор, но только в этот корпус Cooler Master Cosmos SE (COS-5000-KKN1)"
"5","Отличный монитор .Ни разу не подводил,углы обзора просто супер .Картинки лучше нету поверьте .Вопрос к представителю Asus .Покупал этот монитор месяц назад .Но после Неудачной игры в Dota 2 ударил по нему и разбил.Сколько буде стоять замена матрицы и я так понимаю это не гарантийный случай .Покупал его у Вас на Розетке."
"5","Что я имею ввиду под словами требовательный к видеоадаптеру? К примеру, при подключении любого источника по HDMI к этому монитору он выдаст в лучшем случае 1920x1080. DisplayPort (для полноценной работы) должен быть версии минимум 1.2, DisplayPort 1.1 выдаст на этом мониторе полноформатную картинку 3440x1440 но обеспечит максимум 75 Гц. Моя распаковка"
"5","Говорят что в этой модели часто лопает матрица , это правда???"
"5","А когда будет поставка мониторов?"
"5","Купил монитор ради того чтобы смотреть чат когда я стримлю. Советую всем стримерам для того чтобы читать чат !!!!"
"5","Хороший монитор, нареканий к работе не было. Но захотелось чего - то лучшего. Решил взять этот монитор. Очень хорошая картинка и калибровка цветов. Подходит как для игр так и для работы. Большой экран, можно открыть много окон и выполнять сразу несколько задач. Много современных наворотов. Фильмы в широком формате смотреть одно удовольствие. Сейчас почти все фильмы выпускают в широком формате и при просмотре они показывают на весь экран, без черных полос. Сериалы будут по бокам с черными полосами, потому что они идут в формате 16:9 или 16:10. В игры играть вообще шикарно. Играю в Battlefield 3, Battlefield 4, Battlefield Hardline, Battlefield 1, Star Wars Battlefront, последний NFS, The Crew, GTA 5 и еще много других. Во всех играх есть соотношение сторон 21:9 и нужное разрешение. Никаких черных полос или растянутости картинки в играх не наблюдал. Разве что только Fallout 4 и Metal Gear Solid V. В танки не играю так что за эту игру сказать ничего не могу. Монитор супер, покупкой доволен. Всем хороших покупок."
"4","Монитор представляет собой два монитора в одном. Это очень удобно для работы. Лучший монитор для работы, однозначно. Несмотря на то, что монитор позиционируется, как игровой, он таковым является только по начинке. В действительности все игры или растянуты, или меняется видео-режим, подставляя черные полосы по краям. Это не съедает экран игры, но раздражает, как будто экран неполноценный. Все фильмы с черными полосами. Выбирая этот монитор имейте ввиду: его аспект 21:9. Визуально такой монитор меньше, чем вы ожидаете, поскольку он 34"" по диагонали, а одна сторона примерно в три раза меньше другой. Но это плюс, потому что нет чувства, что монитор слишком большой. Изогнутый экран удобнее и приятнее, чем плоский. Никаких искажений нет."
