"5","Монитор приехал без засветов и битых пикселей. Подключил через dvi. Конечно это не ips, но при определенных подстройках вполне хорош. В паре с msi gtx 1080 x достойно выглядит во всех играх. За счёт высокой ноги можно удобно расположить."
"5","После 60ти герцового монитора, этот - другой мир. Всё настолько плавно и красиво... Сложно передать словами, это просто надо видеть. Наглядный пример: Если на 60ти гервоцом мониторе в игре был ФПС 60-70 и минимальные фризы, то на этом сама цифра ФПСа останется такой же, но рывки/задержки пропадут, играть ЗНАЧИТЕЛЬНО приятнее и легче."
"5","Отличный монитор, оч доволен покупкой!!! Оч приятная цвето передача правда после калибровки небольшой Огромный + в скорости отклика и частоте! DP пока проверить нет возможности но было бы интересно у всей ли этой серии проблемы на этом порту"
"3","При подключении через DP, раз в 2-3 недели монитор выдает ""DisplayPort нет сигнала"". Прогуглив, я понял, что проблема эта довольно распространенная на этой модели. Решается она банально: нужно вытащить кабель питания из монитора на пару минут. При подключении через dvi-d таких проблем пока не наблюдал. Остался очень неприятный осадок."
"5","Пользуюсь уже долго, лучший моник что у меня был, а я перепробовал разные Benq и Acer модели с 144гц Отлично служит мне, глаза не устают, скорость матрицы просто бешеная, играть в игры просто потрясающе на нем"
"2","Приехал с битым пикселем ..."
"5","Матрица даёт гораздо более насыщенные цвета по сравнению со старым тн-монитором. Углы обзора вполне устраивают. Частота при боксовом шнуре дуал дивиай 144 гц. Главное, не забыть в настройках игр отключать вертикальную синхронизацию:) Встроенные динамики не проверяли. Заявленные наэкранные прицел и таймер есть. В диске с дровами ничего интересного. Видяха 13-го года GeForce GTX 760 4 ГБ с саксимальным 2560x1600 вытягивает на данном мониторе при 1920х1080 до 130-135 фпса с проседанием до 60-55 в особо напряжных сценах. Кому интересно, вот видяха, покупалась тоже в Розетке http://hard.rozetka.com.ua/inno3d_n760_3sdn_m5dsx/p385384/#tab=characteristics В общем, для данного моника нужно явно более новую видяху. В целом, пока от монитора сплошной позитив, коллективу Розетки огромное спасибо за оперативность и позитив!"
"5","Покупал не в розетке, до этого был dell u2312hm и там стояла ips матрица но время отклика 8мс,и 60Гц. долго сомневался менять на Tn или нет, не пожалел, монитор отличный, для игр то что надо!Игры стали выглядеть совершенно по новому! Немного пришлось повозится с настройкой яркости, цвета, контраста, но это того стоит всем советую!!! Единственный минус это встроенные динамики, они просто не какие, их вообще не надо было ставить и тем самым немного удешевить монитор."
"5","Монітор супер, мишка по акції дуже погана."
"3","Хороший, бюджетный монитор. Если вы играете в одиночные игры - нет смысла покупать 144 герцовый. Для сетевых шутеров, он актуален в случае если и FPS в игре на порядок выше 60, а лучше когда он достигает 144 - тогда можно насладиться всеми его преимуществами, иначе он бессмысленный."
"5","Вопрос к представителю Асус. Подскажите похожую модель но без 3D. Не нужна эта функция в мониторе, по этому не хочется за неё переплачивать."
"5","Ребята как монитор стоит своих денег? смотрел европейские сайты там его хвалят таки ....."
"5","Когда будут в наличии?? Очень хочу приобрести!"
"4","Хороший моник. после 76 герц есть огромная разница. Прикольная мыша в подарок )"
"5","Видеокарта GT 660 подойдет для такого монитора?"
"5","Подскажите пожалуйста, в этом мониторе есть nvidia G-Sync? Если нет , то в каком она есть? Или ее надо отдельно ставить? Если да то у кого?"
"5","Монитор просто суперр таких денег оправдывает,цвета и картинка отличные сам монитор подбирает цвет и яркость под картинку,3 д работает отлично с активными очками(затворными).Жаль только что нет в комплекте 3Д очков или хотябы был бы ИК порт для 3д встроен.На вид красив монитор крутиться как хочешь в разные сторноны удобно дло регулировки для себя"
