"4","Отличный моник за свои деньги"
"4","Купил в 2014 году,работает отлично,картинка хорошая,красочная,хорошие углы обзора"
"1","качество картинки ужас, контрастность никакая, углы обзора... 21 век же. ТОЛЬКО IPS !!!"
"1","Может монитор и хороший но мне прислали нерабочий.Оформил заявку на возврат товара.Оно мне надо?Сплошная головная боль!"
"5","Чудовий монітор за свою ціну, якісна і контрастна картинка."
"5","Купил монитор в сентябре 2016 года, очень доволен покупкой. Выдаёт хорошее качество HD. Хорошо смотрятся видео в 4К качестве"
"5","Отличный монитор,цена+ качество."
"5","За свою цену, прекрасный монитор. Надо было немного подождать и купил бы по-дешевле."
"5","Монитор отличный"
"3","В целом середнячковый монитор"
"5","Доволен. Хорошие цета и картинка. Относительно недорогой. 3 года гарантии."
"5","Отличный монитор. Я очень доволен."
"4","монитор нормальный.тем более за такие деньги."
"5","Хороший монитор за свои деньги. Хорошая яркость, только вот ножка узкая и монитор слегка колебаеться, но это не критично"
