"5","Монитор супер, не пожалел за такие деньги бомба, качество, + акустика и диагональ всем советую"
"5","отличный монитор я сначала думал что он сильно большой но за два дня к нему привыкаешь ( и чем его можно вытирать без спец среств а в домашних условиях а то чтоб не было розводов )"
"4","Вопрос по поводу встроенных динамиков, а именно - как их включить? У меня колонок пока нету. только наушники, которые подключены непосредственно до компьютера, а как сделать что бы звук шел с встроенных динамиков монитора ?"
"5","брать однозначно нет бликов и прочих неприятностей монитора глаза неболят и не устают во время игры(а играю я часто).меню простое и доступное"
"5","В целом хорший монитор, цвет, контрастность, качество... Пользуюсь год, всё хорошё."
"5","Монитор супер !!! Изображение четкое , яркое, цвета сочные, битых пикселей, засветов по краям или в углах и еще каких то отклонений не нашел . На эти деньги лучший вариант как по мне. За встроенный звук ничего не скажу, не пользуюсь, для этих целей существует акустика, ноо есть ведь и возможность юзать его как телевизор поэтому встроенный звук только дополнительный плюс. )))"
"4","Монитор нормальный за такие деньги,тонкий,симпатичный."
"5","Отличный монитор за небольшую сумму. Да еще и со встроенными колонками.."
"5","пользуюсь второй год все отлично фильмы и игры на нем одно удовольствие"
"5","Хороший монітор, непогані можливості за не великі гроші."
"5","мне посоветовали, я доволен))"
"5","отличный монитор. стоит своих денег. возможность подключить HDMI к спутниковом тюнеру и использовать как тв."
"5","Месяц пользуюсь, очень доволен!!!"
"4","Монитор стоит своих денег."
