"5","Изображение отличное, глубина черного меня очень порадовала, напомнила мне ЭЛТ-монитор. Яркость по умолчанию высокая, но в освещенной комнате терпимая. Подсветка равномерная, хотя в темной комнате углы немного засвечены, но я в абсолютно темной комнате никогда не смотрю монитор. Сейчас пользуюсь режимом Low Blue Light -30%. Сижу на расстоянии 1,5 метра, пиксели видно с расстояния 40 см и ближе. Битые пиксели отсутствуют. Подключил по DVI-D."
"5","Хороший монитор."
"5","За свои деньги отличный вариант!"
"3","Яркость действительно великовата после CCFL, выкрутил в 0"
"5","Монитор порадовал."
"4","В общем покупкой доволен. До этого у меня последние лет семь был 19-дюймовый ViewSonic VA903m, устраивал меня на 100%. Но время идёт, моитор стареет, в нескольких местах он выцвел-прогорел, пришлось искать замену. Вот нашёл этот BenQ. Внимательно начитался обзоров и UX, настораживало только то, что некоторые недовольны излишней яркостью монитора (а для меня это было важно, т.к. зрение при долгой работе на высокой яркости садится очень быстро, яркость монитора не должна сильно отличаться от яркости окружающего пространства), но пришёл к выводу, что всё же запас есть и можно всё настроить. Так же размер пикселя настораживал, в принципе, обоснованно. Принёс домой, поставил рядом со своим старым монитором и полдня убил на то, чтобы привести изображение нового к привычному уже старому - гамму, яркость и контраст. Ну, примерно 98% сходства получить удалось. Правда некоторые шрифты (при выключенном clear type в виндоусе) всё же, признаюсь на старом выглядят чуть получше. Всё же там пиксель меньше. Ну и ещё момент - всё же в win7 все отображения шрифтов просто заточены под включённый clear type. Раньше под ХР я его непременно выключал. Под семёркой без clear type на этом мониторе половина шрифтов выглядят чудовищно. Пришлось включить. Привык быстро. В остальном - всё неплохо. Все аппаратные ускорения выключил. Вот мои настройки: 1) Изображение Яркость: 31 Контраст: 30 Резкость: 5 Гамма: 5 Цвет. темп-ра: Опр польз-лем: R98 G98 B96 Оттенок: 50 Насыщенность: 48 AMA: ВЫКЛ. 2) Наст. Изобр. Режим изобр.: Пользов. Режим отображ.: Весь. Overscan: ВЫКЛ HDMI RGB диап. ПК: RGB (0~255) Позже я некоторые подкорректировал на пару делений, но не фиксировал эти изменения. При таких настройках глазам комфортно, усталости нет, картинка хорошая, хотя нет-нет да и кажется мне, что мой прежний монитор показывал лучше. Но это, скорее всего дело привычки. Поработал пару недель на новом, включил старый и как-то даже ужаснулся. Как я на нём работал? Да, некоторые цвета выглядят насыщеннее, но общее ощущение: новый монитор гораздо лучше. На старом виньетка по краям, прогары и засветы и вообще всё какое-то жухлое. А на BenQ всё как-то равномерно, всё как-то мягко и нежно. Серый рабочий стол - это серый рабочий стол без пятен и засветов. Чёрный цвет вообще идеален. Я никогда ни на одном мониторе не видел такого чёрного. Битых пикселей нет. При покупке проверял в отделе выдачи. В общем работаю - наслаждаюсь. Хотя сетка и видна, если смотреть близко, но при такой диагонали смотреть на него нужно не мене, чем с шестидесяти см. С такого расстояния всё прекрасно совсем. В итоге покупкой доволен."
"5","Пользуюсь год претензий не имею."
"5","Технические обзоры по данной модели легко гуглятся и добавить в целом больше нечего. Отличный монитор."
"5","Очень хороший монитор. Своих денег стоит на все 100. Минусы исходя из личных предпочтений!"
"5","Работает как часы 11 месяцев. Настройки сразу взял с обзора на оверлокерс. Доволен как слон."
"5","Отличный моник за свои деньги."
"5","Шикрный монитор на замену 22 дюймового! Отсутствие ШИМа - главный плюс. Глаза не устают ВООБЩЕ! Всем очень рекомендую!"
"5","Стал обладателем сего монитора, нужна была замена моему 22"", ну что можно сказать впечатления от монитора положительные, глаза не устают - это для меня было главным требованием. Великовата яркость после CCFL LG, судя по всему это явление характерное для всех LED, при плохом освещении ставлю яркость на ""0"" - нормально, так не напрягает. Вот насыщенные цвета, скорее всего от непривычки, немного раздражали - от монитора такого не ожидаешь, зато фотографии пересмотрел, ощущается разница в изображении сразу же, конечно это не тот TN монитор которым я пользовался. Зерно на такой диагонали заметное, но приемлемо. Не плохой монитор по моему, надеюсь что в дальнейшем не разочарует!"
"5","Почти месяц в использовании -засветов нет и не было.Цвета сочные,но муж приглушил до 30% яркость,а то сильно яркий.Сочный черный цвет,что даже не видно где начинается рамка,да и рамка тонкая.В играх отображает всё четко.Уже все заценили моник и говорят крутотень.До этого был Бенк 23 дюйма ТН."
"5","Наиболее оптимальный (цена-качество) выбор для 27"" монитора ,до этого был 19"" Samsung P серии (MVA) ,заменой очень доволен!"
"5","Монитор просто бомба.Цвета сочные.Битых естественно нет.Встал на стол как родной.Муж радуется подарку как ребенок.Не жалею,что выбрала именно его.Даже настройки не делала долго-всё очень быстро.Только 5 звезд. Подробнее: http://hard.rozetka.com.ua/benq_gw2760hs_led_black/p254811/"
"5","Взял его три дня назад,монитор просто бомба,я даже и не ожидал от него такого качества."
"5","купил монитор настраивал понемногу 3 дня , монитор просто огонь надеюсь што ненайду какойто большой косяк и не придетса возвращать обратно бытых пикселей нету -проверил прогой"
