"4","Приобрел такой монитор по большей степени для работы с текстом, углы обзора впрынцыпе нормально а вот цветопередача не очень, на ярких, цветных картинках это заметно. Как для офиса то вполне нормально, но если хотите смотреть видео или для работы с графикой возьмите что то получше и не с TN матрицей Так же расстроило что нету DVI выхода, но за его цену это нормально. Рамка тонкая, сам корпус не сильно маркий, подставка так себе, большой угол отрегулировать не удастся. Блок питания выносной, идет отдельно, шнур достаточно длинный. Моя оценка четыре с минусом #мояраспаковка"
"5","Использую данный монитор для работы с текстом. Сижу за компом по 6-7 часов в день, глаза особо не устают если правильно настроить в меню режим цветопередачи. Вообще вещь удобная и главное не дорогая. Если нужен конкретно рабочий инструмент и ничего более, то такая моделька за 100 баксов - самый лучший вариант. ФуллХД разрешение оптимально подходит под эту 22дюймовую диагональ, чтобы пиксели в глаза не бросались!"
"1","добавте денег возьмите подороже и лучше самсунг. Сервис сказал что у Вас нестандартний режим, хотя самсунг работает при этом нестандартном режиме. Разочаровался в LG"
"4","Здравствуйте, хочу купить этот монитор вместе с видеокартой gtx 1050ti. Подскажите, какой переходник мне нужен, с hdmi в vga или с vga в hdmi? Заранее спасибо."
"5","Была задача купить монитор подешевле, но при этом чтобы работал нормально. Сразу же начал смотреть среди LG , я пользуюсь их мониторами еще с тех времен когда они были ЭЛТ. Что касается конкретно этого монитора, то изображение меня устраивает, цветопередача неплохая, не смотря на то, что матрица не IPS"
"5","#мояраспаковка .Монитор кажется очень большим,после 15-ти дюймового, цвета сочные яркие,легко настроился,яркость настроил на 70 %. Отдельное спасибо розетке за оперативность- забрал через 3 часа после заказа.Надеюсь прослужит долго,как сказал в видео- имею опыт использования монитора LG около 10 лет и сейчас он еще работает у сына.Покупкой доволен классный монитор за не большие деньги!!!"
"3","#мояраспаковка Достаточно хороший монитор за приемлемую цену, full hd разрешение, матовый экран но не обошлось и без минусов самый большой который разочаровал небольшой засвет всей площади снизу экрана скорее всего там расположена подсветка. Самый большой плюс для меня это сервис от LG сталкивался с их сервисом когда полетела led подсветка поменяли и подсветку и матрицу в комплекте и все бесплатно притом что гарантия уже прошла но еще не истек срок сервисного обслуживания который был 3 года, от них первый раз о таком узнал."
"4","Монитор как монитор, всем хорош. Брал бате на подарок. Работает как и должен работать. В целом хорош."
"5","Хороший монитор, вроде. У сына такой, пока не жаловался.=) Стоит он недорого, а по параметрам очень даже ничего. Большой экран, красочно показывает, видно хорошо с любого угла. Как по мне, оптимальный для учёбы. ЛЖ хороший производитель по мониторам - будем надеятся, добросовестно проработает не один год. Советую к покупке."
"4","Для свое цены вполне сойдет"
"5","Шикарный монитор. Очень приятная картинка, много полезных режимов, красочность видео и игр раскрывается на полную! Очень доволен."
"4","хороший"
"4","співвідношення ціна-якість оптимальні"
