"5","!!!"
"5","Яркая сочная картинка"
"5","Класний монітор. За свої гроші просто БОМБА. Ну і розетка на висоті . І флешка по акції класна."
"5","Все быстро и профессионально!"
"5","Для своей цены - суперский монитор !"
"5","Это тот вариант когда дешево и сердито, кстати наверное самый дешевый IPS монитор, который я находил. По картинке претензий нет, да есть чуть чуть заметный засвет но это при условии что полнейшая темнота и что черный фон, а так это заметить сложно."
"5","Простой рабочий моник. Если нужно секономить и не клюнуть на килотонны маркетинговых уловок, то эта модель подходит под описание.=) Есть всё необходимое и ничего лишнего. Интерфейс всего один, но зато наверняка подключится к любому компу и ноуту. Диагональ минимально удобная для длительной работы - больше конечно можно, а вот меньше уже не стоит. На этих 22 дюймах FullHD смотрится довольно убедительно, недостатка в чёткости точно не ощущается. Дизайн примитивный - и это хорошо (для меня лично). У меня он неделю и я им доволен. Еще доволен Розеткой за подаренную кингстоновскую флешку.=) Спасибо!"
"4","Питание в мониторе нужно в розетку включать или в системник компа?"
"5","Купувала цей монітор десь півроку тому. Працюю бухгалтером, потрібен був недорогий монітор для тривалої офісної роботи - суто для збереження зору. Мені порадили цю модель, як дешеву та ефективну. Працювати дійсно зручно, після короткого налаштування відображення кольорів персонально під себе зір майже не напружується. Діагоналі та роздільної здатності достатньо навіть для дрібних шрифтів в Екселі та складних графіків. Кути огляду широкі, жодних битих пікселів чи засвічувань так і не знаходила. Дизайн у нього саме ""робочої конячки"", на столі виглядає доволі органічно. Як на мене, то вартість свою виправдовує - комфорт для зору понад усе."
"4","Узяв на розетці позавчора. Вдячний за подарункову флешку Kingston! Монітором також задоволений - обирав суто дешеву IPS-модель з 22-гою діагоналлю. Краще Лж у цьому плані годі й шукати. Поставив його собі в офісі, підключаю ноут і працюю здебільшого з офісними додатками та браузерами. Зображення чітке і контрастне, мене цілком влаштовує. Дизайн доволі простий, та для роботи та навіть краще) Рекомендую"
"5","Монитором доволен. Хорошая матрица."
"5","Очень красивый, стильный монитор. Недостатков в работе и вообще не обнаружено! Очень рад покупкой, всем рекомендую!"
"4","В принципе хороший монитор на IPS матрице за относительно небольшую цену. Единствееный минус хлипкая подставка. Выглядит ненадежно, монитор на ней дребежжит от любых прикосновений."
"5","Стоит ли покупать такой моник для CS:GO?"
"5","Легкий, тонкий, относительно недорогой, для дома отличный вариант, текст четкий, с фото еще не работал, взагали приятно работать, глаза не устают."
"5","Пока что не обнаружено"
"4","Якість: ну це ж бренд, якщо від бренда не отримувати за 120 доларів якості збирання....???? Хоча мені спершу здалося, що виріб значно крихкий, аніж мій старенький LCD-монітор ProView. Але зрівнявши масивність одного і елегантність іншого, зрозумів, що це оманливе відчуття. Картинка звичайно на висоті, кути таке відчуття скільки саме око зможе розпізнати на стільки і відображає без змін, тобто максимальні. Правда мені малувато яскравості. Монітор автоматично налаштував максимальне значення яскравості, не знаю на підставі чого він це робить, але мені здається навіть на максимум її мало. Картинка в WoT дуже сподобалась, в звичайному не ігровому режимі теж. Не знаю, можливо когось насторожить, але мені іноді здається що дивлюсь на малюнок намальований акварельними фарбами. Одним словом не звично, перший досвід з IPS, але чесно, чекав чогось більшого, тому якогось екстазу не отримав."
"5","Детальніше про цей монітор на відео, також в близький час постараюсь зняти відео з детальним аналізом всіх можливих налаштувань монітору!!!"
"4","За такую цену ips на высоте."
"5","Отлично!"
"5","А це буде віндовс 10"
"5","советую всем!"
"5","Монитор супер, множество параметров для настройки ""под себя"", тонкие, неброские рамки. Отличный монитор за свою цену с ips матрицей."
