"4","Купил данный монитор, очень понравился, легкий, картинка на высоте, битых пикслей не попалось."
"5","Классный монитор. К счастью попался без какого-либо брака. Узкие рамки и правда создают впечатление, что курсор вылетит за пределы экрана :) Крайне не советую брать FullHd больше этой диагонали экрана, т.к. даже здесь местами уже видна зернистость. Не представляю, что происходит на старших по размеру моделях... Но как для меня это нормально, я понимал, что так оно и будет."
"5","Этот монитор для игр подойдет?"
"3","Что это и как исправить ?"
"3","В целом хороший монитор, однако для тех, кто много работает в текстовых редакторах или в других приложениях с однотонным светлым фоном (особенно белым) этот монитор не подойдет."
"5","Купил данный монитор около года назад, все устраивало. Но после использования 6 месяцев началось не объяснительное поведение: 1. Сначала редко , но бывало после ночи он не выходил из спящего режима. Только после вкл/выкл от сети помогало. 2. Чем больше пользовался, тем больше замечал, что начал он часто мерцать, но в отдельных местах. После вкл/выкл снова работал норм. 3. А буквально вчера (16.06.2017) после очередной ночной спячки, первое что он мне показал , так это похожее на разбитую матрицу, по углам подсветка не работала, полосы разного цвета ну и конечно же картинки нет. Как всегда вкл/выкл - картинка появилась, но мерцание осталось только намного сильнее прежнего. На протяжение часа мерцание прошло. Буду обращаться в сервисный центр ""розетки""."
"5","Хороший монитор . За эти деньги лучше не нашёл в момент покупки ."
"2","Купил себе подарок на новый год два монитора LG 22MP68VQ P. Картинка понравилась на них сразу, но один из мониторов оказался бракованным. То цвета инверсия, то вертикальные полосы на сером фоне и зависание. Мониторы покупались в том числе для работы с цветом - фото/видео. Пришлось менять в магазине по гарантии. Отдал правда не сразу, так как симптомы сначала были редкими, но позже стали учащаться.Надеялся все будет хорошо. Поменяли мне мой монитор на новый такой же, но с уже другой новой партии. К моему огромному разочарованию у мониторов теперь совершенно разная картинка по температуре и цвету. На фото слева монитор пришедший на замену, справа купленный в январе 2017. Глюков нет, но ЦВЕТ? Вместо белого - ЖЕЛТЫЙ. Может быть представители LG смогут помочь решить данную проблему. Пока я разочарован такой покупкой. Не могу рекомендовать этот товар к покупке."
"5","""Хорошее соотношение цены/качества. Многофункциональный монитор за разумные деньги как по мне. Я использую и для работы и так фильмы посмотреть. – очень круто все со спецэффектами смотреть. Да и переключаются режимы легко."
"5","Среди изобилия разномастных мониторов он выделялся своей компактностью (некоторые друзья до сих пор думают, что он 24-ти дюймовый, хотя на самом деле - всего лишь 21-ти дюймовый); стильностью - черный матовый корпус"
"5","розетка большое спасибо за отличный монитор. Надеюсь будет работать верой и правдой! #мояраспаковка"
"5","А DVI кабель к нему не прилагаеться?"
"5","Непогана модель для під'їєднання до ноутбука. Обрав конкретно цей монітор здебільшого за апаратну синхронізацію АМД ФріСінк та тоненькі рамки навколо дисплею. Власне, в ігри не граю взагалі, але відеокарта в ноуті дискретна і саме АМДшна - тож стало просто цікаво, як саме зміниться зображення:-)) Дійсно, в динамічних сценах картинка неначе ""стабілізується"", хоч якогось вау-ефекту я так і не відчув. Безрамковість бачив у знайомого на його домашньому Асусі і мені зовні сподобалось. Вирішив, як вже купую монітор раз на 10 років, то чомби не узяти й собі такого?"
"5","Брал тут. Заказывал месяц назад. Сервисом доволен. Монитор покупался для игр - играю в WoT и CS:Go. Видяха AMD - с FreeSync синхронизируется ОК. Матрица нормальная, цветопередача поярче ТН и скорость отклика в CS тоже норм. Безрамочность считаю лишней. А вот три видеовхода - зачёт. За флешку респект! Можно брать."
"1","Монитор время от времени показывает полосы при включении. При этом он не отображает посылаемый сигнал и не реагирует на нажатие джойстика управления. Уже носил в сервисный центр, сказали что не смогли выявить данный дефект, т.к он ""плавающий"", и проявляется в случайное время. Веду переписку с LG напрямую, жду разрешения этой ситуации. Благодаря отзывам других людей в данной ветке я хотя бы вижу, что это не только у меня такая проблема, а по сути производственный брак. Видео на английском, чтобы люди из разных стран могли посмотреть :) Если проблему не решат, буду собирать ""видеодоказательства"" и дальше, отправляя их в разные инстанции. Может даже достучусь до LG Global если не получится решить проблему в Украине. Если что пишите - будем обращаться вместе."
"5","Будут ли ещё поставки данного монитора? Только собрался брать а их уже нет"
"5","Я очень придирчив к покупкам я выбирал монитор около двух недель перебирая множество вариантов выбрал именно этот за что я перечислил в достоинствах проверил на битые пиксели все в порядке благодарен розетки за качественные товары !"
"5","Сегодня получил товар. В целом на первый взгляд монитор бомба. Но столкнулся с такой проблемой, подключаю монитор к ноутбуку через кабель HDMI монитор пишет нет сигнала и переходит в сон, ноутбук монитор не определяет.(хотя у меня есть телевизор LG, так вот он через этот же кабель работает нормально.) Подключаю через VGA все работает, и причем если подключить HDMI и VGA одновременно, то тогда HDMI работает, ноутбук как бы видит сразу два монитора, и я могу спокойно переключатся на мониторе между входами HDMI и VGA. Но как только вытаскиваю VGA сразу перестает работать и HDMI. Если у кого была такая проблема, посоветуйте как решить?"
"4","Мой друг купил такой же самый монитор у него появилась проблема с этими полосками на экране когда заходит в google тогда не видно верхний слой нижний правый и левый как можно это исправить ?"
"4","Понравилось: что аккуратный и сходу занял свое место на столе; устойчивая ножка (монитор не шатается); хорошие и живые цвета; в основном работаю с текстом, настройка заняла буквально 5 минут; был приятно удивлен качеством изображения видео; в целом монитор справил очень приятные и положительные впечатления, по этому рекомендую. Огорчило: а точнее очень огорчил небольшой перекос (~3мм) между левой и правой стороной монитора. Вопрос был решен подкладыванием двух 5-ти копеек под ножку. Такой маленький недостаток по ощущениям как ложка дегтя в бочке с мёдом."
"5","Хочу купить этот монитор"
