"3","Цена хорошая, но главный минус этого монитора, то что нету цифровых портов. А без них такое разрешение просто не может качественно ""передаваться"" по старой технологии передачи VGA! Оно будет как бы ""в мыле"", хоть и цвета вполне хорошие. Для четкости нужно использовать современные порты, которых здесь нету, и не какие переходники не помогут после покупки данного монитора! Учитывайте этот момент, у того же LG есть другие схожие модели где есть и VGA и hdmi или dvi-d. PS. Некоторые всеравно сидят на VGA портах, на современных мониторах, просто либо лень купить кабель, либо не понимают различия."
"5","+"
"4","По дефолтным настройкам слишком ""перепаленный"" желтый цвет."
"5","В сравнении со старым ящиком - это фантастика. :)"
"5","хороший монитор, отличная цена, оперативная доставка в указанный срок."
"5","Наразі ця пропозиція на Розетці є найвигіднішою . А така ціна за 23"" IPS то є супер для робочого монітору. Я поки не пересіла цілком за ноут, майже 5 років працювала за 17"" ламповим LG Тож враження доволі позитивні вцілому. Цей апарат цікавий простотою й доцільністю. Якщо нічого не зміниться, купуватиму його на наступному тижні. Успіхів усім!"
"5","Отличный монитор!"
"5","Моник супер, за свои бабки вообще вне конкуренции. Доволен им месяца 4. Стоит в офисе, пришёл на смену древнему ЭЛТ-чудовищу (тоже LG). Используется в основном для работы в вордах-экселях и серфинга, очень редко для просмотра видосиков. Коннект по ВГА при 60 герцах самое то для фуллХД - брать дороже деньги на ветер. Жаль только кингстоновскую флешку раьше не дарили(( Но розетке зачет)) Пятерочка сабжу."
"4","Всем привет купил этот монитор, теперь никак его настроить нормально не могу. Автоопределение какуюто странну гамму выдает, а ручными настройками никак не магу подгадать чтоб для глаз было удобно. Хоть экран отличный, картинка супер а всеже зрение не привыкло. Есть какието рекомндуемые значения гаммы, герцовки, контрастности, яркости?"
"2","Здравствуйте. Из характеристик - потребляемая мощность в спящем режиме: 0.3 Вт. Скажите пожалуйста, как найти этот спящий режим? Я такого не нахожу. При отсутствии сигнала переходит на отключение питания после этого включение только кнопкой - очень неудобно."
"5","Всем рекомендую очень хороший и удобний монитор для игр очень хорошо подходит качествено и бюджетно"
"5","нет"
"5","Підключений через комплектний кабель - зображення легко рябить (на ньому нема захисту від перешкод). Кабель обовязково міняти."
"4","не знаю .. как по мне то это уже слишком здоровый экран .. работаю на своем 21.5' и дальше .. Не могу настроить оптимальный режим для глаз.. Может для работы больше TF подходят, подскажите? Цена, качество, доставка, все норм .."
"4","Монитор хороший, легкий, стильный, хорошая матрица, но откалибровать такой монитор своими силами практически невозможно. Имея 2 таких рядом, добиться одинакового отображения картинки (хотябы по цветовой гамме) одновременно на двух мониторах невозможно. То в зеленый валит цвета, то в красный. Ручная настройка вообще никакая, изменяя значнение контарса - меняется цветовая гамма, которую в свою очередь точно настроить никак нельзя. Выход только один - подкручивать профиль монитора в ОС и тот не дает гарантий."
"5","Брав як додатковий екран до ноутбука, задоволений повністю."
"5","С DVI было бы идеально."
"5","цена может дороговата конечно."
