"5","Пользуюсь пару дней. Засветы есть не значительные по углам, такие что считай что их нет. Не каждый их способен заметить, жена например моя смотрела-смотрела и так ничего и не увидела. И то видно их только на сплошном черном экране и если присматриваться. Это не огромные пятна посреди экрана, как у других производителей... Так что можно смело брать. Подойдет и для фотошоперов, можно все настроить, откалибровать и пользоваться для графики. Разница между ips и TN просто коллосальная, глаза не так устают, изображение мягкое и приятное. Тут еще есть технология Flicker-Free которая тоже снимает нагрузку с глаз. Так что пока могу рекомендовать, посмотрим что будет дальше..."
"5","Отличный монитор, для дома и для офиса думаю будет окей. Для графики возможно не подойдет - так как некоторые цвета немного искажены, хотя сейчас на каждом девайсе свой цвет и где уже хорошо или плохо глаз не понимает. Я взял его в оплату частями на 5 месяцев без переплат, отлично служит и качественно показывает фильмы , советую"
"5","Хороший монитор, стоит потраченных средств."
"5","Был у меня LG 23MP65D-P, который поломался. Но решил снова рискнуть и снова LG. Как починю (без гарантии) повешу рядом на vesa крепление и будет два монитора. По началу здесь показались по хуже цвета чем на старом, но потом подкрутил, и вроде норм. Тут слегка шире габариты, из-за рамок, но не значительно. Ножка же здесь показалась вполне хорошей, лучше чем была на предыдущем. Может вы не до конца закручиваете? Либо купите vesa крепление. Меню удобнее, что случайно не нажимается. Но кроме одного: неудобно выключать. Нужно нажимать на джостик, потом на себя. Либо зажать джостик и держать 3 сек. Этот момент не продуман. Так же не очень красиво сделан индикатор, там он распылялся через стекло, смотрелся красивее, здесь же пимпочка диод. Но это мелочи, можно и отключить его. Если и этот выйдет из строя то уже к марке LG поменяю свое мнение окончательно. Битых пикселей небыло, разрешили хорошо проверить в точке выдаче. Отдельное спасибо розетке, что пошли на встречу и снизили цену когда началась акция. В этих моментах мне они очень нравятся. В других же магазинах отношение совсем другое. Кстати, на сайте lg такая модель с двумя портами HDMI, надеялся, что их всетаки будет два, но к сожалению один. PS. Не используйте VGA порт, он уже морально устарел, только DVI-D или HDMI !"
"4","Вопрос для представителей компании Lg (или для понимающих людей): Через HDMI соединение на мониторе нет изображения (ноутбук venovo T500 (видеокарта дискретная) подключение через display port+переходник на HDMI), в чем причина? p.s. На другом ноуте HDMI - HDMI все работает."
"4","Купили на розетке."
"5","""Характеристики говорят сами за себя. Лично я очень довольна, пользуюсь больше года. Советую"""
"5","Коли з'явилася необхідність в пошуку ЖК монітора набрів в інтернеті на дану модель. Критерії, які мене цікавили в моніторі були: дозвіл, час відгуку, дизайн і шірокорматность"
"4","Нормальный монитор, парочку засветов, не стал уже менять, не напрягает, видно лишь при загрузки, лёгкий, непривередливый ((:"
"4","Попередній монітор (19"") почав гаснути. Підбирав в категорії 23"" , звертав увагу на ціну та оцінку товару. Перші дні мої діти були вражені розмірами. Є засвіти по куткам на чорному фоні, але це не кидається в очі. Півроку користуюсь, не жалкую."
"5","Отличный монитор, использую в паре с ноутом через DisplayPort-HDMI кабель. Матрица без засветов, действительно flicker-free (от регулирующих яркость мерцанием сильно устают глаза и болит голова). Удобное управление меню с помощью джойстика. Конструкция надеждная и не шатается, но одноразовой сборки - после проверки в магазине смогли разобрать только впятером с продавцами :) #мояраспаковка"
