"5","забрал сегодня из новой почты потестил засветов нет битых пиксилей нет качество супер! Спасибо Розетка! и за подарок отдельное спасибо прикольный бонус))"
"5","Отличный монитор цена/качество"
"5","Отличный монитор цена/качество"
"5","Монитор понравился, цветопередача отличная, радует обильное количество настроек. Единственный минус - это небольшие засветы по краям на чёрном цвете, но всё не так плохо как может показаться читая данный комментарий и к этому быстро привыкаешь."
"5","Купил данный монитор, выбирал долго. Но не разочарован Все как надо показывает, цветопередача наилучшая для такой модели по такой цене. Отколибровав через специальную программу, вы просто убедитесь что он хорош. Работаю дизайнером, хороший выбор"
"5","Соотношение цена/качество."
"4","Монитор неплохой, очень яркий, настроил под себя, сделал 70% яркость. Есть засветы, но при работе или просомтре фильмов их конечно невидно, если придираться то да, недостаток. В целом товаром доволен. Ножка устойчивая, изображение четкое, глаза вроде не устают. Надеюсь проработает долго, прошлый LG проработал года 3 и помер, ремонты особо не помогли, только время потерял. Буду надеяться что этот отработает хотя бы лет 5."
"4","Для Playstation4 підійде?"
"5","Только что поставил монитор и столкнулся с проблемой, всё время меняется яркость экрана в зависимости от изображения. Чем темнее изображение, тем темнее яркость. Очень не удобно при просмотре фильмов, ибо очень темно. Как исправить? Заранее спасибо."
"5","Подскажите, какова толщина рамок на этом мониторе?"
"5","Подскажите, плиз, этот монитор подойдет для геймера, если не хочется больше денег платить за моник?"
"4","Купил вчера. Быстро адаптировался к большему размеру, до этого был 21,5. Картинка качественная, монитор выглядит стильно. Но не понравился режим Чтения, их тут 2, но оба не очень. До этого был тоже LG. Там режим чтения был на порядок лучше, и глаза не уставали и картинка была сочная. Тут же слишком все темно и ""не живое"", как будто будни в депрессии). Поставил значения по умолчанию и чуть снизил яркость, до 90. Вроде неплохо."
"5","Монитором доволен. На фото сравнение 21,5 с 23,8"
"5","Много выбирал, брал в основном для игр Остановился на этом и не пожалел. Пишут что есть засветы и ножка хлипкая и т.д. Лично я не увидел никаких засветов. Стоит тоже устойчиво, любой монитор будет шататься если шатать стол) Покупкой доволен, получил даже больше чем ожидал."
"4","Вопрос к представителю, есть возможность вручную управлять входными сигналами?, те если подключено 2 монитора, один по dvi, другой по dsub и выбран вход dsub и если пропадает сигнал (к примеру перезагрузка), автоматом переключает на DVI. Можно как то зафиксировать? Бесит постоянно переключать"
"5","Пока довольны полностью. Проблем нет. Что ожидали, то и получили. Рекомендую."
"5","При выборе монитора я долго мешкался и думал монитор какой марки выбрать.Я долго ходил по магазинам,распрашил друзей,но никто так и не дал мне совета,тогда я решил сам сделать выбор,и я не ошибся когда выбрал монитор этой марки ... .Я получил незабываемые впечатления после покупки этого монитора."
"5","Достоинства: IPS хорошего качества, отличная картинка, особенно после TN матрицы Оптимальная диагональ. Нет мерцания (еле заметное, проверял на сером фоне в мелкую полосу, на мониторе DELL U2312HM мерцание на много заметней) что хорошо для глаз при длительной работе за монитором. Хороший внешний вид. На фотках рамки вокруг экрана больше кажутся, в живую все очень гармонично) Дополнительные плюшки, программное разделение на несколько рабочих областей Минимальные засветы подсветки. Недостатки: Корпус конечно поскрипывает, ну это и бюджетный вариант, для меня совсем не критично, главное это картинка)) Остаются отпечатки на ножке и корпусе"
"5","Не могу подключить к видеокарте(1050) по hdmi разъёму. Пишет нет сигнала и переходит в спящий режим."
"5","Сколько здесь герц?"
"5","Отлиный монитор!!! Пользуюсь уже три месяца.Я работаю it-шником и на работе у меня два монтора DELL 27"" потому захотел взять монитор домой чтобы к ноутбуку подключить и также работать на двух мониторах, пересмотрел много вариантов и остановился на этом. Я считаю что с таким размером и ценой это лучшее что вы можете найти. Для работы отлично подходит + в игры играю и с девушкой фильмы смотрим, избражение отличное. Но все же разница с DELL 27"" чувствуется, так что если вы ""гурман"" или же работаете в сфере дизайна или фотодизайна то советую все же раскошелиться на что-нибудь подороже, а так для дома, игр и работы лучше не найдешь. Это субъективное мнение, решение брать или не брать за вами, я лично своей покупкой очень доволен!"
"5","Отличный моник!))"
"3","Гарний але..."
"5","Покупкою задоволена. Замовляла в Розетці тиждень тому. Монітор купувався на подарунок, але як тільки роздивилась його і собі такий захотілося.) Доставили вчасно і без жодних дефектів, при ввімкненні ані битих пікселів, ані якихось засвічувань помічено не було. Монітор показує шикарне зображення, з насиченими кольорами і широкими кутами огляду. Позаду є аж три інтерфейси для підключення. Мені така діагональ здається завеликою, але для напруженої роботи може якраз і зручно має бути.)"
"5","Хороший монитор!"
