"5","В темных сценах сильно темно нужно калибровать, есть простое решение загрузить icc профиль уже откалиброванный ищите подходит для нашего монитора LG 23MP55 icc. После установки icc профиля все смотрится сносно. Фото до и после даже через камеру телефона видно результат. Лучший монитор за свои деньги, рекомендую к покупке."
"5","Монитор стоит своих денег"
"5","Ребята, кто купил сфотографируйте если не сложно темный фон на мониторе в темной комнате. Спасибо."
"5","Разъем dvi-i или dvi-d ?"
"3","Монитор, за свои деньги, не плохой. Но заводская настройка это просто адъ. Пришлось звать товарища с калибратором, что бы привести картинку в норму. На удивление минимальные засветы на черном фоне, и белый цвет довольно равномерный по всей матрице, рядом стоит Dell U2515H, там с этим делом ужасные проблемы. При активации FreeSync картинка искажается, все шрифты становятся каким то кривыми, понижается резкость, появляются вертикальные полоски, которые заметны на некоторых цветах, в особенности на синем, зеленом и желтом. FullHD разрешения при 24"" для меня маловато, отчетливо видны пиксели и неравномерности на тонких шрифтах."
"5","Напишите кто купил какие ширина и высота дисплея?"
"5","Уже несколько поколений мониторов лджи перепробовал. Этот на данный момент лучший. И по качеству картинки и по белому цвету. Запас яркости огромный, больше половины никогда не ставил, при том, что работаю в светлом офисе."
"5","Взял такой монитор уже больше месяца назад. Поменял старый монитор на новый с IPS матрицой, чтобы глаза меньше уставали. Много программирую и сижу за экраном. Так вот за ним глаза совсем не устают. Даже после часа без перерыва. Доволен очень, а еще цвета у него классные!"
"5","Понятная интуитивная панель с настройками. Работает при малейшем прикосновении. Даже при попадании солнечных лучей изображение остается ярким. Дизайн одновременно строгий и элегантный."
"5","Картинка хорошая без недостатков, с интерфейсами проблем тоже нет, что радует так как собираюсь менять видео карту, когда они появятся в наличии. Не знаю что еще сказать, просто хороий монитор."
