"5","Какой тип в матрицы в данном мониторе? Это ЛГ-я матрица?"
"5","Подскажите потянет ли этот монитор, вот такой системный блок?AMD Ryzen 3 1200 3.1GHz/8MB (YD1200BBAEBOX) sAM4 BOX,SAPPHIRE RADEON RX 560 PULSE MINING EDITION 4096MB GDDR5 PCI-EXPRESS,MSI B350M Mortar (sAM4, AMD B350, PCI-Ex16) AMD DDR4-2400 8192MB PC4-19200 R7 Performance Series."
"4","Почему-то freeSync не могу включить, эта опия постоянно серенькая. Монитор очень порадовал. Пикселей совсем не видно."
"4","картинку налаштував (м,яку . насичену , контрасну , з , глибиною ...) під,Єднав до ЛджІ мідіцентру, трімакс дігітал ресірвера.... ти ба як просто - дивлюсь 32 безкоштовних циф.канала (1080Р (60Гц)).... з функцією спліт скрін - отримуємо з малим 2 монітори по2ка , я в телику , малий в іграх , один одного моніторимо .... дякую .."
"4","я собі думаю - чотири ка з функцією спліт скрін , ... , уявіть 40ват ЕКРАН 2К,і додайте щє один - НЕ альбом - але , зверху 2К ТБ , а по під ним 2К дісплей ..... мені подобається хоч 4К нон стоп годі і чекати (сигнал для ТБ можно брати з ресірверів І АЙ-Й ПІІІІ)... з повагою миколай"
"5","После старенького TN+Film FullHD этот монитор просто зверь) Цвета отличные, углы обзора тоже, 4к - это вообще песня. Сижу на расстоянии примерно 70см и вижу огромную разницу в разрешении, так что даже на 27"" есть смысл переходить на 4к. Но на семерке есть проблема с масштабируемостью, также куча проблем в программах, особенно стареньких. Если выбирать между 4к и WQHD, я бы все-таки взял последний, потому что сейчас моя видеокарта (GTX 960 4gb) просто плачет везде. Думал, что 4к легко масштабируется на FullHD из-за кратного соотношения пикселей, но это не так - в играх WQHD смотрится лучше, чем FullHD."
"5","4К выглядит замечательно в сравнении с FullHD. В комплекте есть кабель DisplayPort (не было сказано в описании). Удобное управление с помощью небольшого джойстика внизу монитора. Регулируется только наклон вперед/назад, но, к счастью, есть VESA, так что эта проблема решилась покупкой настольного крепления."
"4","Мдааа... Девайс бомбезный выдается) И цена соответственная, хотя рассрочка малость компенсирует такой стресс) Я бы его взял себе чисто для рабочих нужд, сугубо професииональных - сериал посмотреть, в батлфилд пострелять, в дотку побегать) Боюсь только, что моя тачка такое на высоких настройках такое разрешение не вытянет. Хотя сам по себе монитор толковый - и не надо переплачивать 2-3к, как в случае с делл или самсунг."
"5","Обратите внимание что когда вы впервый раз войдете в систему, вам нужно будет сделать масштабирование интерфейса, иначе все будет очень очень мелким."
"5","Монитор поддерживает HDMI 2.0? Интересно, совместим ли он с пс4 про."
"4","Купил его для офисной работы в качестве внешнего монитора на MacBook. Очень комфортный размер, качество изображения, отличная прорисовка интерфейса. Были сомнения по поводу максимальной яркости, но ее достаточно при 60% и довольно ярком комнатном освещении. Это монитор не для игр или профессиональных дизайнерских или монтажных работ. Дизайн лаконичен, если для вас главное смотреть В монитор а не НА него, то это пожалуй оптимальный выбор. Розетка как всегда на высоте - рассрочка без переплат, быстрая доставка, официальная гарантия."
"5","Выбор был долгим, месяца три я присматривался, читал обзоры и думал нужен мне 4к или нет. Решил остановиться на этой модели по нескольким причинам. Матрица хорошая без глоу эффекта, цена вменяемая, и это ЛДЖИ, все моники только от них были и сейчас альтернативы не вижу"
"5","Пересмотрела много вариантов. Но потом все-таки остановилась на LG. Монитор действительно обладает очень современным стильным дизайном и отличными характеристиками. Он как будто бы влился в интерьер моей комнаты и стал главным украшением моего рабочего места. Брат конечно теперь не отходит от моника, очень нравиться играть, говорит, что ощущения намного круче, чем на старом было."
"2","данный монитор хорошо использовать для работы с таблицами или написанием текста. Можно конечно посмотреть красочный ролик на ютубе. Смотреть фотографии не рекомендую. такое ощущение, что в мониторе используют дешевую светодиодную подсветку в которой полно ультрафиолета и мало красного. Настроить нормальную цветопередачу не получилось. при выборе рекомендую смотреть в сторону 27UD68 - переплата в 3000 гривен того стоит. Этот монитор потестировал пару дней, не получил удовольстви и сменил на 27UD68"
"5","Пользуюсь всего около 2х недель, пока впечатления положительные. 4к сейчас не особо полезен так как большинство приложений не поддерживают масштабирование интерфейса, использую при разрешении 2к."
"5","Начну с небольшого минуса, в этом мониторе нет возможности повернуть экран на 180 градусов. Но это все компенсируется с лихвой его экраном. Он просто идеальный, это без малейшего преувеличения."
"5","Вопрос к представителям компании.Выставляю настройки на 60герц начинает мерцать монитор и посередине появляется полоса.Перехожу на 30 все стает норм.В чем причина？"
"4","Перш за все слід зазначити що це найвигідніший для покупки 4k 27-ми дюймовий дисплей. До якості зображення зауважень немає, управління монітором виконується не за допомогою стандартних кнопок а джойстиком під нижнім торцем дисплею, що дещо не звично але доволі зручно, якщо звикнути Проте, є деякі проблеми із драйверами: схоже що вони орієнтовані на 10-й віндоус тому довелось намучитись із їхньою установкою на Windows 7 (потрібно спершу установити драйвер а потім вручну вибрати його для дисплею, автоматично пристрій не розпізнається). Також основна программа установки працює неадекватно: вона копїює інсталлятори на HDD замість запуску (Тому запускати установку краще вручну через ""мій комп'ютер""). Серед недоліків також варто зазначити невисоку ніжку без можливості регуляції кута нахилу чи висоти та незручну для зберігання упаковку (коробка відкривається з ширшої сторони і закрити її потім без скотчу не вийде) і диск,чомусь, не упакували хоча б у конверт. Також у описі є неточність: у комплект входить не лише HDMI кабель а й DisplayPort."
"5","Понравился данный монитор. Видеокарта стоит gtx 950. Вопрос: если в играх выставить разрешение 1920х1080, сильно ли испортится картинка? Она не будет мыльной или пикселизированой? Спасибо"
