"1","Пришёл монитор, обнаружил битый пиксель. Куда обратиться?"
"5","Данный монитор подходит для веб серфинга, просмотра фильмов даже для игр(потому что для игр без разницы какая матрица и углы обзора) но монитор не подходит для работы в хотошопе(или в похожих программах. В общем хороший монитор за свои деньги."
"3","Монитор компактный, есть проблема с современными материнскими платами, а тоесть наличие одного лишь VGA входа. В современных матплатах этот разъем уже отсутствует и поэтому приходится покупать переходник. В настройке Intel GMA при включении режима цветопередачи Full Range цвета становятся насыщенными. Углы обзора плачевны, фильми портити отстутствие насыщенного черного, фактически верх темнее, средина самое то, низ - светлый. ТN уже отжил свое. Понравились шрифты, очень четкие, прям идеал, до этого пользовался дисплеем 24 дюйма, но там было смазано, здесь все отлично. Монитор для текста, веб-серфинга."
"5","За такую цену конечно любой монитор с такой диагональю будет классный, но конкретно этот экземпляр достаточно ужасен. Бу мониторы из Европы 10-летней давности и то имеют лучшую картинку при схожих параметрах. И углы обзора тоже ужасные. Сбоку ничего не видно"
"5","В даном мониторе есть встроеная веб камера?Жду ответа"
"5","Внем есть веб камера?"
"5","работаю с документами и текстовыми базами больше недели, пока все устраивает"
"4","Приобрели на три таких монитора, пока очень довольны ими. Изображение практически не теряет качество смотря с боку, отлично работает с мелким текстом, видео не засвечивает по бокам и с верху. Единственно что не понравилось так это крепление ножки к монитору, защелка не сильно фиксирует его из-за этого монитор сильно шатается."
"4","Удовлетворил мои требования. Хороший товар."
"3","распаковка: https://www.youtube.com/watch?v=ToIcCL9H8Co"
"5","офисный вариант с большой диагональю и стандартной для всех бюджетных мониторов TN матрицей."
"5","Будет при в давлении в экран например ""пальцем"" , то будет посенение"
"5","хороший монитор за свою цену"
"5","Претензий нет"
"3","Лучше купить нормальный монитор подороже, чем этот. Но всё же за такую цену много на что не надейтесь."
