"5","для ігор ідеально за таку ціну"
"4","Помогите пожалуйста! Как отключить авторегулировку яркости(или контраста) монитора? P.S.Дисковод на компютере отсутствует."
"5","хороший монітор в іграх є декілька режимів великий рекомендую."
"5","Купил вчера очень доволен цветопередача супер был на 19 тоже Филипс проработал 10 лет спасибо Розетка прислали очень быстро сегодня на сегодня. Проверил три разъёма дефектов в виде полосок и мерцаний не заметил рекомендую"
"4","Купил на замену старенькому 19"" LG - к 1050ti подключился по HDMI без проблем . Углы обзора и цветопередача на высоте ! На стену прикрепил на старый кронштейн на котором висел LG . Намного легче старого ))) ."
"5","Монитор понравился картинка четкая и яркая в играх самое то что надо."
"5","Хороший монитор, для работы с экселем то что нужно"
"5","Монитор хороший, картинка яркая и цвета насыщенные. Радуют углы обзора. Кабель, который идет от блока питания до монитора - слишком короткий. Его даже не хватает для того что-бы положить БП на пол. В комплекте нету DVI кабеля."
"4","Непоганий монітор за свою ціну. Картинка насичена. По замовчуванню, як на мене, дуже насичена картинка, в іграх в ""темних"" сценах не дуже гарно видно. Лікується ручною настройкою."
"5","Жаль в комплекте нет кабеля подключения к телефону, а так всё чудесно."
"5","ок"
"4","Брал для игр,картинка четкая ,засветов не обнаружил,подключен к компу через DVI-D(кабель брал отдельно). Ножка подставки кажется хлипкой но устойчивая . Меню управления простое. Монитор стоит своих денег."
"4","Четкая картинка"
"4","неплохой монитор"
"5","Отличный монитор, просто супер"
"3","Есть ли в комплекте кабель dvi , если нету то какой надо покупать, dvi-i или dvi-b ?"
"4","Philips делает неплохие мониторы. Возможное использование выступа - для стикеров )"
