"5","добрий монітор за свої гроші"
"4","Приобрел данный монитор на розетке. К моему счастью, монитор пришел целый и без каких-либо механических повреждений. В комплекте блок питания с кабелем питания, кабель VGA, кабель для звука (3,5 мм папа-папа), документация, диск. Кстати, в описании комплектации отсутствует упоминание о кабеле звука. Данная ошибка обошлась мне в 35 грн, которые я заплатил купив такой кабель в розетке сразу с монитором. Также на фото задней панели монитора отсутствует выход DVI, но это скорее ошибка производителя, т.к. на их сайте аналогичное фото. Подключив монитор, запустил проверку на качество. Битых пикселей и засветов не обнаружено, что не могло не порадовать. Вздохнув с облегчением принялся радовать глаз красивыми фото и видео природы. Цвета яркие и насыщенные. Я не эксперт, но очень схоже с самсунговским изображением. Управление настройками монитора осуществляется за счет джойстика, к которому нужно немного привыкнуть. Внешне монитор приятный, довольно тонкий. Кстати, ножка немного выше привычных мониторов (нерегулируемых по высоте), по крайней мере лично для меня. А вот о минусах... Еще распаковывая, я задавался вопросом где же отверстия для колонок, откуда звук будет выходить. Но я их так и не нашел, либо не понял, что это эти самые отверстия )) Включив звук, я расстроился... Учитывая по сути бюджетность монитора, да и его габариты я не ожидал чего-то хорошего. Но, из-за отсутствия этих отверстий для выхода звука, он становится совсемплохим. Уважаемые представители Philips, ну неужели сделать два отверстия на задней крышке с какой-нибудь сеточкой так сильно удорожат производство этой модели? Чтобы понять это звучание, возьмите телефон, включите на нем музыку и положите его в пластиковую коробку (и пластик, чтобы потоньше был). Звучание из бюджетного смартфона даст фору звуку из этого монитора. Поэтому выбирая из нескольких мониторов не ставьте плюсик в сторону этого Philips'a из-за колонок, считайте, что их нет :) Для перфекционистов будет неприятным способ подключения проводов. Все подключенные провода торчат из него на 2-3 см, тут уже от провода зависит. У меня монитор стоит попой к посетителям кабинета, и это не сильно красиво выглядит. К тому же, если монитор стоит еще и на самом краю стола, то эти провода может еще и зацепить проходящий рядом. Итог: монитор я бы рекомендовал к покупке, как недорогой экземпляр с хорошей картинкой. Вычитал в интернете, что у данной модели реальные 8 bit, а не 6 bit + FRC, как у большинства конкурентов этого ценового сегмента. Как монитор с колонками - категорически не рекомендую. Если это для Вас ключевой пункт при выборе, то лучше поищите другой вариант."
"5","3 день все супер(засветов и битых пик. не обнаружел ). к сожиленею дрова на диски а у меня нет болванки не на одном компе да и на оф.сайте нету"
"4","Данный монитор поддерживает HDMI 1.4 или 2.0? В описании не нашел информации по этому вопросу"
"5","Получил в течении 3х дней, но первый блин был комом, на экране было физическое повреждение возле рамки (послужило причиной обмена) и море ""засветов"" подсветки в месте повреждения и также в других местах экрана (тогда казалось что это пустяк, так как в комментариях писали о таких проблемах). В итоге поменял на другой в течении недели, поменяли без вопросов и приставаний, второй монитор пришел идеальный без засветов и повреждений, ОЧЕНЬ доволен покупкой. Огорчило отсутствие интерфейсных кабелей кроме VGA :("
"4","Хороший"
"5","Монітор хороший. Але чомусь колонки встроєні не працюють. З чим це пов'язано?"
"5","Выбирал между LG в равной ценовой категории. Из-за встроенной акустики выбрал Philips. Битых пикселов нет. Подстветка равномерная. Товаром доволен."
"2","По центру экрана, возле логотипа большей рыжий засветился, слева, справа, снизу белые засветился поменьше, черный цвет и углы обзора очень плохие."
"2","Не рекомендую к покупке."
"5","Монитор супер"
"5","Розетка, сделайте видео обзор на этот монитор."
"5","Монитор отличный. Перед тем попробовал взять в розетке изогнутый Самсунг, который мне вообще не понравился качеством картинки, а потом и LG, который по большому счету был то не плох, но у него были засветы на черном фоне (конкретно видны и не равномерны). На этом же мониторе все супер. Цвета - такие как и должны быть, яркость и контрастность с запасом, тонкие рамки. Реальный размер экрана (указан на коробке) 23.6"". К качеству сборки замечаний нет. В общем лучший монитор за свою цену."
