"5","Просто супер. Цвет,четкость,яркость, все отлично. Вообще не жалею о покупке не капли."
"5","Отличный монитор, доступная цена. Думаю, самое превосходное соотношение цена/качество. Пользуюсь несколько месяцев."
"5","Кращий вибір за такі гроші"
"5","Отличный монитор экран очень хороший"
"5","Купил монитор 6 месяцев назад,правда не в rozetetke .Красивый дизайн,матрица PLS отличная,лучше чем IPS.графика,цвета и изображения всё отлично. Качественная поставка,да и в общем он весь качественный."
"4","Есть ли в данной модели засветы на черном? отпишитесь"
"5","#мояраспаковка Белый, стильный симпатичный и недорогой монитор. Пыль на нем не будет заметна :) Хорошая металлическая подставка малой площади, смотрится современно и занимает мало места. Все настройки управляются кнопкой-джойстиком, поначалу надо привыкнуть, дальше все будет моментально."
"5","Ну реально за эти деньги монитор хорош, частота обновления в порядке, приятно за ним целый день находится. играть, смотреть фильмы и работать. От текста глаза не болят при многочасовых нагрузках. Углы обзора широченные, со сторон все без инвертирования просматривается, и сбоков, и сверху и снизу. реалистичная картинка, монитор устойчив, корпус прочный"
"4","Хороший монитор за свои деньги."
"5","Отличный монитор. Брал жене для работы с фото. В эксплуатации три месяца. Каких либо недочетов не обнаружил."
"5","на попередньому моніторі (23"" Philips E-line 237E) міг поставити свої налаштування для трьох режимів (Стандарт, Интернет, Игры), а на цьому моніторі 246E нормальні налаштування (приємні кольори з потрібним контрастом та яскравістю) зміг зробити тільки в Стандартному режимі. Інші два режими, здається, мають ще якісь приховані налаштування, які змінити не можу, хоча всі пункти повністю скопіював зі Стандартного. Тож доводиться для різного освітлення змінювати яскравість через меню. Це компенсується дуже зручним джойстиком. Все інше повністю задоволняє."
"2","Итак, если кратко - не рекомендую данный монитор. PLS - более ДЕШЕВЫЙ аналог IPS. Глаза не то, что уставали, а лопались сосуды. Сначала в одном, потом в другом глазу. Пока не сдал его, проблема не ушла. Из очевидных недостатков: пересыщенные цвета, слишком большая яркость, черный цвет слишком уж серый(похоже особенность PLS) (особенно доставляет при чтении на белом фоне, шрифты выходят неконтрастные и размазанные), работать в темной комнате очень не комфортно, учитывая еще немалую диагональ(больше диагональ - больше света). Имеются дикие заветы не только слева/справа внизу(как у всех IPS/PLS), а и вверху, к тому же неравномерная. Сравнивал с мониторами 22ea53 LG, L194WT LG (старая, но качественная TN с контрастностью 2000:1) с матрицами IPS и TN соответственно, глядя на которые глаза отдыхали(несмотря на наличие ШИМ). Черный шрифт был черным (визуально ), цвета спокойные, реалистичные. Как только я не настраивал его, и HDMI кабель пробовал, и заливку фона в браузере менял, и контрастность программно добавлял желаемого эффекта так и не добился, и руки снова тянулись к джойстику настройки. Выводы для себя: современный монитор должен иметь режим low blue light, для интернета, офиса и т.п. Диагональ 21-22"" имеет преимущества над популярными 24-27"" в силу большей плотности пикселей (четкость текста) (речь о попсовом разрешении конечно), меньшей площади подсветки, а также когда небольшое рабочее место. Большие диагонали - медиа и игры. Хороший вариант 23"". Для себя подбираю AMVA монитор."
"5","В меню есть такая настройка что она означает Over Scan ?"
"5","Отличный монитор."
"5","Очень хороший монитор, качество изображения и размери екрана супер.Настройка меню лёгкая одной кнопкой.РЕКОМЕНДУЮ."
"5","Монитор просто бомба, очень качественная передача цветов, удобный джойстик управления, всё настраивается, по умолчанию три стандартных варианта эквалайзера . Подставка надежная и красивая. Советую всем для работы и развлечений."
"5","Подключил к монитору 2 ноута, MacBook Pro через HDMI и HP на Windows 10 через VGI кабель. Мучился со звуком, пока не понял что колонок нет) HDMI звук передает, проверил по выходу звука на мониторе, вставив наушники. Сначала болели глаза, но после убавления яркости до 30% и настройки правильного разрешения, всё стало идеально. Хитрое управление джойстиком на задней панели монитора, но удобно. Качество конечно немного хуже чем на Retina мониторе, но намного больше размер). Ножки очень порадовали - не съедают место на столе, да еще позволяют сдвинуть их на 1/3 со стола без опасений падения монитора. Очень легкий."
"5","Пользуемся пару месяцев, пока всем довольны. Особенно радует исполнение ножек, экономящее место на столе."
"5","Монитор красивый. Хорошая подставка, железная, на которой монитор стоит очень прочно и даже не шатается. Монитор лёгкий и тонкий. Рамка очень тонкая. Матрица PLS с хорошими углами обзора, простое меню с одной кнопкой. Само по себе меню монитора очень простое. В сравнении с другими мониторами не обнаружил тут режимов для отдыха глаз и режима для чтения. Есть 3 режима переключения Стандарт, Интернет, Игры. Подключение у него идет через адаптер, а в адаптер вставляется обычный провод, как на блок питания компьютера, который идет в розетку или можно напрямую подключить его из адаптера питания в ИБП - это удобно если у вас стоит ИБП. В общем хороший, красивый, простой монитор."
