"5","Всім привіт! Монітор дуже гарний та великий, після мого АСЕРА 17, як після таврії на BMW. Так як я проживаю в селі то це вже дуже крутий для мене монітор. З доставкою все добре, я не розумію чого на пошту Міст Експрес наговорть таку гидоту, прийшло за 4 дні з Киева в Херсонську облать."
"5","Хороший монитор. Работает без сбоев. Качественная сборка."
"5","Подскажите , а какова частота обновления экрана (герцовка у него ) . Заранее спасибо за ответ"
"4","В целом хороший монитор. Стильный и все свои функции выполняет. Что еще надо"
"3","Какая страна производит?"
"5","Монік класний, підійде скоріше для розваг, а не для роботи. До даного товару не відноситься, але в цілому - FullHD на 27"" як на мене, це знущання всіх виробників над користувачами. Я бачу на 23"" і на 27"" те саме, а хотілося б більше бачити на 27""... При покупці не звернув на це увагу - чайник:) Для кого роздільна здатність це не принциповий момент - рекомендую!"
"5","пользуюсь три недели"
"4","за такую цену матрица IPS"
"5","Хороший,достойный монитор.Удобное управление.Прекрасно вписывается в интерьер."
"4","Цветопередачей доволен. Удобное управление."
"5","Монитором в общем доволен! Хороший размер,зернистость не заметнауже в 80 см от моника! Однако чёрный экран показывает что по сути чёрного цвета монитор отобразить не может! Реальное использование а этом не напрягает, всё хорошо!"
"5","Купил 2 месяца назад. Отличный монитор. Отличная цветопередача. Нареканий нет."
"5","Отличный монитор."
"4","Хороший монитор за такие деньги. Надо привыкать к зерну - все же здесь очень заметно, особенно в играх. Нет DVI разъема, надо сразу брать HDMI кабель."
