"5","Пока всех доволен, отдельное спасибо розетке за отличный сервис."
"5","Перші враження суперові. Враховуючи те що перейшов на нього аж зі старого HD монітора, то тут нема просто слів. Надіюсь цей самсунг прослужить так само як і старший його брат)"
"4","какая версия hdmi в комплекте？"
"5","Красивый дизайн ,четкое изображение, видно все с любого угла ."
"5","Хороший монитор, пользуюсь больше 2 месяцев, все гуд)"
"5","Залишився задоволеним. Приїхав неушкоджений."
"5","Отличный монитор за такую цену . Хорошо подходит для тех кто подолгу сидит за компьютером ,так как есть режим отдыха глаз . Качественное изображение #мояраспаковка"
"5","Хороший монитор. Конечно приходится привыкать к тому что он изогнут. Битых пикселей не обнаружено. Знал бы - брал бы такой же но 27"". Но в принципе меня и этот устраивает. Доставка - 4 дня. Имейте это ввиду."
"5","Отличный монитор, пользуюсь более полугода. К искривлению экрана привыкаешь в первые же 5 минут, зато потом обычные мониторы выглядят слегка выпуклыми:) Через HDMI кабель вообще вопросов нет, но через VGA немного ловит помехи и видны (если сильно присмотреться, правда) мелкие бегающие полосы на экране."
"5","По моему лучший выбор."
"5","Яка ширина цього монітора,разом з рамками)"
"5","Я просто в восторге от его цветопередачи, качества изображения, яркости, углов обзора и т.д. Кто-то пишет про битые пиксели и засветы - с первой попытки попался идеальный монитор, ничего такого нет, доволен безумно. P.S. Для тех кого интересует разница между этим монитором и C24F390 - разница в ножке и комплектном кабеле. Здесь идёт в комплекте HDMI (очень хорошего качества), а в модели C24F390 - VGA. Рекомендую!!! 5+)"
"5","Отличное соотношение ""цена-качество""! Не могу сказать, что присутствует баснословное ""полное погружение"" из-за изогнутости экрана, но качество картины на высоте)"
"5","Кайфую от монитора! Полное погружение в игры! Приятный бонус от Розетки - колонки. Мелочь, а приятно:) спасибо"
"4","Заказали даный монитор, очень хорошее качество"
"3","Покупал в Розетке 2 таких монитора, но в разное время, подключил что бы работали в паре, цветопередача отличается на втором купленном мониторе (немного желтоватая), так настроить идентично и не смог, видимо разные партии. В целом монитор не плох, и особо не грузит глаза при длительной работе."
"5","Яркий и четкий дисплей, закругления думал будут более выражены, эффект погружения есть, но ожидал бОльшего. Менял старый НР с 1680x1050, так что все равно довольный Доставка была бесплатная, колонки в подарок."
"5","Видяха GTX 1050ti потянит ?"
"5","Купил этого красавца 17.06.17 подключил через HDMI и это просто космос!!! Во первых он реально огромный по сравнению с моим самсунг 20 дюймов с разрешением 1600х900,во вторых качество картинки просто на все 100! фильмы в блу-рэй смотреть одно удовольствие!!! Играть это вообще отдельная тема! Танки,ведьмак,фалаут 4 всё ультра стоит,и картинка просто нереально крутая! Изогнутость даёт красивый боковой вид,когда смотришь в центр экрана! как будто он перед носом! Хотя стоит от меня 60-8- см от моего лица! Во общем монитор СУПЕР! Не пожалел что купил! Чего и ВАМ всем советую! Розетке отдельное спасибо,за доставку и обслуживание!!"
"4","На видеокарте 1050 будет нормально работать"
"5","Отличный монитор!!! Розетка на высоте, днем заказал, утром в 10 забрал, битых пикселей нет, изогнутость дает новые ощущение!!! Большой, хорошая картинка, доволен всем, советую!!"
