"5","Сегодня забрал монитор с Новой Почты и уже ""опробывал"" его. Картинка красивая и нассыщенная как и писали в характеристиках. В общем единственный минус это то, что многие видео с разрешением 720р теперь смотряться как с разрешением 360 на моем старом мониторе (19 дюймов, 4:3, 1280х1024). По поводу мерехтения ничего сказать не могу, не наблюдал, пока что. Хотя заметил одну особенность, в некоторых играх/видео и т.д., при незначительном увеличении/уменьшении светлых участков, монитор сам выравнивает уровень цветовой гаммы, что иногда и вправду выглядит как мерехтение. Но это, скорее всего, можно исправить в настройках самого монитора, так что не считаю это минусов, а скорее особеностью монитора. В общем покупкой, пока что, доволен."
"5","Если частота обновлений - 60Гц , то это значит что ФПС в играх будет показывать максимум - 60?"
"4","Монитор не плох , но обнаружен недостаток с мерцанием подсветки при переходе со светлого экрана на темный , может это как то опционально устраняется ну я не нашел как это сделать"
"5","Купил этот монитор ровно 14 дней назад. Пока что, всё отлично. Цвета хорошие, дефектов не выявил. Могу рекомендовать!"
"5","Чудовий монітор"
"5","Монитор покупал для игры на консоли ps4, покупкой остался более чем доволен, буду рекомендовать друзьям."
"5","Купил. Наконец то. Несколько лет мечтал о новом мониторе. Выделил с зп деньги и... не пожалел. После ТН матрицы, 19 дюймов и АШди монитора - этот просто космос. Очень не привычно, но все нравиться. Не пожалел о покупке."
"5","Хороший монітор. Добре підходить як для роботи так і для комфортного перегляду будь-якого фото/відео матеріалу. Як на мене - оптимальна комбінація ціна-якість серед того, що на даний момент пропонує ринок моніторів."
"5","доставили быстро"
"5","Достойный монитор для домашнего пользования. Брал как второй в дополнение к ранее купленному (Монитор 23.6"" Samsung S24D390HL). На сколько я понял это следующая модель так что надеюсь что сюрпризов не будет. Конечно удивило техническое выполнение кнопки вкл/выкл с совмещенным меню, которая расположена с задней стороны. Однозначно не удобно."
"4","Досить не поганий монітор. Зображеня якісне, тільки під кутом - вицвітають кольори. Найбільше не сподобалося те, що монітор хитається по сторонам, коли стукнути стола. І не вистачає регулювання по-висоті."
"5","Представитель, подойдёт к динамичным играм(батла, гта, фэлаут)?"
"4","У кого яркость монитора меняется постоянно, в зависимости от изображения на экране - идем в Панель управления NVIDIA, там в настройки разрешения, там выбираем Выходной динамический диапазон - полный. Мне это помогло."
"5","за свои небольшие деньги отличный монитор"
"5","Отличный монитор, хорошие цвета, видно под любым углом, много удобных режимов."
"5","Чи присутня у даному моніторі технологія HDR?"
"4","Очень хороший монитор, отличная цветопередача, много режимов. Красивый дизайн. Раздражают только эти засветы при черном фоне у меня в правом верхнем углу. При нажатии чувствуется что матрица не плотно прилегает к корпусу именyо в этом правом углу. Если бы не засветы которые видны только при черном экране поставил бы 5ть."
"4","После покупки дня 2 где-то привыкал к новому изображению после 19`... и яркости экрана... Но потом всё стало супер и очень нравиться и изображение, и углы... но как говорится всегда есть ""НО""... Это динамическая контрастность... которую нельзя отключить... очень напрягает при смене режима игры и работы с браузером... мигает экран секунд 5-7 и потом нормализуется и это происходит каждый раз... Если не данный момент - монитор был бы суперским)))"
"1","Прошу помощи! Стало пропадать кратковременно изображение (да, именно так, монитор гаснет и загорается снова). В чем может быть проблема? Проблема с драйверами как-то не серьезна, видеокарта отлично работала с 19"" Samsung до этого. Спасибо!"
"5","Выбирал монитор для нового компьютера, а пока ПК не заказал соответственно для временного подключения к моему ноутбуку. Выбирал 24 дюйма, чтобы была ips матрица, full hd разрешение, поглядывал на недорогие модели. Выбор пал на несколько мониторов, в данной ценовой категории и соответственно из всех выбрал данный. Нисколько не жалею. Хотя перед этим читал отзывы и писали что от него устают глаза, что есть неравномерные засветы по краям, черный якобы не черный, и так далее. Не знаю, настроил яркость, контрастность, полазил в настройках и выставил все для себя. Приятно за ним работать, сижу подолгу за компьютером ( играю и в игры, смотрю фильмы, работаю с текстом, серфинг в браузере). Подставка довольно массивная и устойчивая. HDMI кабель в комплекте - вообще огромный плюс, ведь у большинства мониторов был лишь vga. Заказ пришел новой почтой, битых пикселей не обнаружено. Выбором доволен на 100%"
"5","Вопрос к представителю, появляется мерцание на мониторе, не часто, буквально на 1-2сек,но глазу заметно. Что это может быть, монитор у меня меньше месяца, подключен через HDMI кабель."
"4","Хороший монитор для дома и не сложных задач."
"4","Какова длина кабеля HDMI?"
"4","Пару дней пользуюсь этим монитором. Отличный дизайн монитора и подставки, цвета радуют (особенно после моего старого 21"" с ТN матрицей). Монтируется легко. Где то читал в комментариях ниже, что не регулируется наклон - все здесь нормально регулируется. Так же писали, что монитор после завершение работы системы сам не выключается - выключается, просто не сразу. Битых пикселей вроде нету. Из недостатков: на темном фоне видны засветы по углам монитора (при чем не понятно, это недостаток монитора или используемой матрицы?)"
