"5","Купив по рекомендації друга, який вже давно користається таким. Поки жодних зауважень, якісний монітор."
"4","нужна помощь с подключением аудио. громкость в настройках монитора поднял с 50 к 100. кабель DVI-HDMI хотя думаю не имеет значения, на компе виход на наушники, на мониторе in, подключал ноут, телефон, звука нет."
"4","Можно ли данный монитор посмотреть у вас в магазине перед покупкой?"
"5","Хорошие углы обзора, удобно отрегулировал по высоте. Понравилась цветопередача, при работе с текстом пользуюсь режимом EYE saver - действительно меньше устают глаза. На ножке есть 2 USB - теперь не лезу под стол к компьютеру."
"5","Вопросс всем!!!! На этом мониторе лучше матрица чем у s24d590pl ? И еще вопросс : динамики работают громко ? Качество звука не интересует."
"5","Отличный монитор,покупался для компа и ps4, полностью оправдал все ожидания."
"5","Получил сегодня на Новой Почте, большое спасибо за отличный монитор! Эргономика,дизайн (Бизнес),встроенная акустика,возможность фиксации монитора в любом положении,удобное меню,отличные цвета,брал для игр в основном (имеется режим авто подстройки для игр).Отличный монитор,для игр то что надо! Если позволяет бюджет,советую смело брать,для игр,развлечений и работы! Прямоугольная форма монитора-очень комфортно для глаз!"
"5","Хорошая цена и качество, я и жена в восторге"
"5","Идеальная вещь для программистов, огромная рабочая поверхность."
"5","Пользуюсь вторые сутки. Довольно массивная металическая подставка. Битых пикселей не нашёл. Изображение просто отличное."
