"5","Купил этот монитор пару дней назад, до этого был бюджетный lg с такой же диагональю без каких либо доп. функций. Что могу сказать, в целом, монитор не плохой, углы обзора тоже не плохие, за исключением белого цвета, он превращается в желтый под малейшем углом от монитора. Влева, вправо на несколько градусов и цвет уже желтый. Монитор стоит у стены на столе под 90° к двери, захожу в комнату, монитор светит желтым, сажусь за стол, под прямым углом светит белым (все это я говорю про браузер), если честно напрягает конкретно. Во всем остальном, игры, фильмы, картинка почти не искажается. Еще из минусов, лично для меня, -1° наклона вниз. Я люблю смотреть фильмы на диване, поскольку стол намного выше высокая ножка, это теперь не очень комфортно делать. Как не крути, но картинка на 10-15% становиться темнее, фирменная технология samsung magic angle в этом случаее не помогает. Для сравнение - на старом мониторе картинка темнела более чем на 30%, но при этом, углы наклона были 6-7°, что позволяло смотреть фильми, лежа на диване под прямым углом. В общем монитор хороший, за эти деньги. Если бы пришлось, купил бы его еще раз, несмотря на недостатки. Ну а про плюсы, прочитайте внизу"
"5","Покажите видео, где он с наклоном????"
"4","Долго не мог найти кнопку включения (она сзади) =)"
"5","Взял около недели назад, в целом монитор устроил цвета яркие, насыщенные, +углы обзора достаточно не плохие. За свою цену отличный товар)"
"5","Підскажіть чи підійде цей монітор до цього пк https://hard.rozetka.com.ua/ua/artline_gaming_x39v12/p11974880/ Буду дуже вдячний."
"5","пж подскажите подойдет ли https://hard.rozetka.com.ua/artline_home_h37v01/p14817056/ (заранее спасибо)"
"5","Покупал в Розетке около года назад, претензий нет никаких! Работает отлично! Магазин Розетка порадовал!"
"5","https://hard.rozetka.com.ua/impression_86296/p18123486/ вот с этим как работает? мб я чет не закрепил но Check Signal Cable"
"5","моник суперский - уже год юзаю этот самый любимый среди 4 - зимой ночь стоит при 0 температуре с утра включаешь и юзаешь весь день при температуре 25 и так всю зиму , и никаких проблем -цвета сочные естественные , если черный то черный белый тоже белый - советую всем -непожалеете"
"5","Проработал около года,потом на экране появились битые пиксели. Отправил в Сервис Розетки: отреагировали оперативно по истечении 14 дней получил полностью рабочий монитор. Большая благодарность работникам Интернет-магазина Розетка. Впервые столкнулся с таким решением моего вопроса. Смотрите где покупаете Мониторы и как бывает с гарантией!!!"
"4","Подойдет ли этот монитор для видеокарты GTX 1050ti?))"
"5","У меня видеокарта гигабайт RX 550 потянет"
"5","Если вдруг появятся проблемки, то позже отпишу."
"5","подскажите, после выключения ПК, монитор не выключается а висит надпись ""проверьте соединение"", как сделать так, что-бы он выключался вместе с пк?"
"4","Написано что наклон есть, но я сколько не давил, так и не смог ничего сделать. Наклон в какую сторону? Вниз или вверх? Мне нужно поднять его немного вверх, ибо выходит я смотрю на него под углом, крайне неудобно. Я уже боюсь его сломать, он крайне легкий и чувство что треснет в любой момент."
"5","Привезли на следующий день, качество для своей цены очень хорошее."
"5","Покупал для пс 4, монитор очень понравился, ценой тоже доволен."
"3","Просто ужасная вилка ! Кому в голову пришло ее сделать угловой ? У меня под столом стандартный офисный удлинитель под евро розетки вилка в нем шатается! Чуть задел какой-то кабель монитор сразу выключаться. Буду искать какой не будь переходник, что бы исправить это. Не могу понять на него все время подается питание ? Если выключил ПК и выбираешь пункт выключить в меню на мониторе все равно мигает индикатор! Не как нельзя настроить угол наклона монитора, то что написано в описании по этому поводу вранье. К остальному претензий нет, качество сборки на высоте, картинка четкая и яркая, шикарные углы изображения. И по поводу ножки я видел тут писали, что она слабенькая, не знаю к ней претензий нет довольно крепкая и с таким большим основание довольно устойчиво стоит на столе."
"5","можно подключить PlayStation 4 ?"
"5","Вопрос!!! Можна ли использовать этот монитор как телик???как это зделать???"
"5","Цей монітор підійде до сборки 1050Ti і пенька 4560"
"5","Отличный монитор за такие деньги, маме очень понравился."
"4","Мне нравится."
"4","Монитор хороший, на твердую 4！"
"5","Це фул хд?"
"5","Придбав для тв бокса. Під' єднав монітор через HDMI, а колонки до тв бокса. Таким чином одержав за мінімальні гроші: телевізор на Андроїді, HD медіапрогравач, муз.центр, Ютуб на великому екрані, а також міні ПК. Монітором задоволений на 100%."
"4",". +нет hdmi кабеля нужно доку"
"5","Товар соответствует описанию, за свои деньги вообще отличный вариант)"
"5","Чудовий екран за свою ціну,все влаштовує."
"4","А если купить переходник с hdmi на vga?Можно?"
"5","Всем советую! Очень достойный монитор за свои денежки! Не плохие углы обзора и качество изображения в целом, как для TN матрицы."
"5","Всем советую! Очень достойный монитор за свои денежки! Не плохие углы обзора и качество изображения в целом, как для TN матрицы. Моник доставили во время, прямо в руки. После внешнего осмотра и 2-х часового отогрева(после перепада температур), монитор был подключен к ПК по кабелю HDMI(не идет в комплекте). Очень порадовало то, что он сам автоматом подхватил свое максимальное(1920x1080) разрешение. Пол часа настройки под себя и монитор готов к полномасштабному использованию. Игровой режим в играх дает интересный эффект(особенно для хоррор шутеров аля Resident Evil 7, DOOM 4). Времени отклика матрицы вполне хватает в динамических сценах. После установки дров с диска для Win 7 x64 монитор стал себя не адекватно вести. Скорее всего конфликт с драйвером от Nvidia. Пришлось удалить драйвер монитора. К счастью он и без него прекрасно работает. Спасибо магазину ROZETKA за качественно предоставленные товар и услуги."
"5","Работает исправно с первого дня, сейчас в него смотрю и печатаю)"
"5","Брали специально для игр на PS4. Хорошая картинка, идеальный размер. Покупкой довольны. Доставка на дом была произведена в оговоренные сроки. Быстро, четко, с консультацией. Спасибо!"
"5","#мояраспаковка Монитор просто супер, когда доставал с коробки он показался мне слишком маленьким но лиш установив его я увидел всю красоту. Угол наклона регулируется настройками монитора а не подлаживанием под монитор различных вещей. Очень приятная кнопка настроек (аналоговый джойстик). пользуюсь 2 недели проблем нет, доволен всем))))) . Спасибо компании Самсунг и Розетка за это чудо"
"4","Чем отличается IPS матрица от TN?"
"5","Подскажите, для игр монитор подходит? Или это чисто офисный вариант?"
"4","Если подключу HDMI, да скольки герц смогу разогнать монитор? И еще, он Full HD?"
"5","Очень хороший монитор."
"5","Частота обновления 60 ГЦ. HDMI брал и всё норм. В общем, нормальный монитор."
"4","нормальный монитор"
"5","Отличный монитор, засветов нет, битых пикселей нет. Качество картинки на высоте."
"5","Отличный экран."
"4","Сколько гц в мониторе ?"
"4","Норм монитор"
"5","Доставка порадовала - заказали в 21:00 в пятницу, в понедельник уже получили. Монитор отличный, для глаз ненапряжный. Засветов не заметили. Покупался для слабовидящего пенсионера ))). Ему очень понравился. В подарок идет чистящий наборчик. #мояраспаковка"
"5","Лучшее соотношение цена-качество. Рекомендую."
"5","Отличный монитор - отличная цена. Изображение идеальное, тонкий. Розетке спсб за дствк."
"5","Быстрая доставка, как для ""Розетки"" :) Всё чётко, работает отлично. Очень приятно пользоваться."
